pressure_kpa,field,previous_global_relative_l2_percent,previous_shock_window_relative_l2_percent,previous_gradient_weighted_relative_l2_percent,selected_global_relative_l2_percent,selected_shock_window_relative_l2_percent,selected_gradient_weighted_relative_l2_percent,neural_global_relative_l2_percent,neural_shock_window_relative_l2_percent,neural_gradient_weighted_relative_l2_percent,neural_seed_global_mean_percent,neural_seed_global_std_percent
16,density,4.366171213132307,1.7060597077361246,5.649255871166278,0.992980337662033,2.6026436019731323,1.163542203310702,1.2804012594743672,2.800067597973169,1.403395032527584,1.2812597574569438,0.01957881522814151
16,u_ms,3.107499464546748,1.685370390445686,3.587500509277728,2.7086673519757674,2.704754706435486,2.6814614806311314,2.9620179686656356,3.744363219178813,2.942932943669415,2.9627219835379464,0.04332362331782021
16,v_ms,10.813382517450147,21.620584919713146,12.873972631396573,5.827586856280754,3.2636038728234706,5.906030664844734,5.769416077499777,5.9402894330063365,6.038548735840216,5.770122545789284,0.017842061316680275
16,temperature_k,1.7511903707518233,2.0524777702246197,1.927928599182412,1.1027210215864254,1.8375723486623845,1.0728743814002004,1.232727786562808,2.1665613726900377,1.2215621400220247,1.233044035616329,0.00655430181433332
16,mach,3.573525948688943,3.978609823095705,3.919508759339864,3.17906145575668,4.244196345507448,3.120944544966866,3.5103721546899878,4.958838363146822,3.45172184261334,3.510859390766837,0.01464691643749662
16,pressure_tecplot,5.0202405791132,2.3100481509856814,6.371875186375563,1.1043894842024407,2.9860856274708225,1.3139085872867369,1.4959092794559132,3.522319874143466,1.6583385369426047,1.4971230947224157,0.011987235291533595
25,density,4.1304408259680505,4.760945584246358,5.162582281029016,1.250300755046724,1.6709682112034132,1.3642876439424,1.2955964334000987,2.1077228680098448,1.3482704621128634,1.2959598342250565,0.02935953202659101
25,u_ms,5.586307750054024,5.270004831838695,6.52787795080065,2.1728027936853125,1.8052227548981656,2.2631090709306774,3.8604771445329145,2.3816135810778016,3.7004108342371342,3.860626477854721,0.05701087961253988
25,v_ms,13.408875716214924,20.88892924143461,14.79946240236224,2.713067178481625,2.9945474651016744,2.9366999225043493,6.301902670117053,3.852801268066979,6.468391126649605,6.302247488184118,0.070114838509534
25,temperature_k,1.5721794643071878,2.564131616378748,1.982830260356955,0.6882318675496489,1.077424494547704,0.6987289143722835,0.5855572162590692,1.2499014135660484,0.6449700976629599,0.5856214440936862,0.007124961864068319
25,mach,5.984422068411021,6.0451347262816455,7.111724897602092,1.9154699201260406,1.9014426756425242,2.078822485472109,3.5472224728041297,2.8919602024627076,3.4806834689613466,3.5474360367343194,0.05210010001226048
25,pressure_tecplot,4.539458311726829,5.868831011008672,5.729999911749671,1.5996749911676673,2.0937379711357273,1.7218028727993895,1.3911597837192464,2.3959868289031303,1.4629595641091084,1.3915184138194476,0.026606028550610016
30,density,4.733839838624434,15.344609883627584,5.817233705243785,4.53474885087874,14.780617031410944,5.544053653566976,4.434937361936148,14.714232529281853,5.471474250794684,4.436675864110138,0.040913448088924734
30,u_ms,12.038173621090213,17.058345522872,14.57772631634349,11.600714072954368,16.580190631557468,14.090763170680152,11.409660862050067,16.33572094311416,13.885295242014825,11.41702375031808,0.05995306957317892
30,v_ms,12.592550132202337,16.806873240186277,14.925172107256444,12.560857303204633,16.472591492491365,15.028960932029673,12.530576951840505,16.339379390128542,14.871050988640869,12.537407765668847,0.24528916066717718
30,temperature_k,2.8931951544309147,7.190344948880449,3.749862028204439,2.782127336747542,6.883940163239105,3.6008339789442982,2.7576704442489963,6.872356908335911,3.576618695575841,2.758820150514392,0.01334406883760016
30,mach,14.200068880728105,19.485551577210384,17.419997571798085,13.66724572855218,18.85434334654958,16.802986182659236,13.393990248143295,18.475061151531524,16.46742092789422,13.39837512889028,0.07426491439273891
30,pressure_tecplot,5.406356792729334,18.730154805672264,6.734506858212398,5.185899265258682,17.960711569858482,6.433538545246854,5.11121751782542,18.012180082495505,6.387755148525716,5.114090421681014,0.03803329071164901
