pressure_kpa,shock_station_mean_absolute_error_um,shock_station_max_absolute_error_um,reference_symmetry_v_rms_ms,reference_symmetry_v_max_abs_ms,reference_mass_flow_spread_percent,reference_positive_density_temperature_pressure,selected_symmetry_v_rms_ms,selected_symmetry_v_max_abs_ms,selected_mass_flow_spread_percent,selected_positive_density_temperature_pressure,selected_mass_flow_profile_relative_l2_percent,neural_symmetry_v_rms_ms,neural_symmetry_v_max_abs_ms,neural_mass_flow_spread_percent,neural_positive_density_temperature_pressure,neural_mass_flow_profile_relative_l2_percent
16,0.5853472955231955,0.9869152430993741,1.9895244529347038,4.310299873,6.334405851959472,True,1.9829504939455933,4.372576170320695,5.215924212013612,True,1.1444402656741168,2.053639582735049,4.672865691204556,7.581046796569946,True,1.9192549885233636
25,0.1216713904842609,0.21620678229492668,1.7390926298563945,4.282000065,5.902675384619955,True,1.6904452983616156,4.146077401440782,6.441276202931794,True,3.0586341699769557,1.7206086601292454,3.8428595945995787,10.49239060932761,True,1.7297993936115885
30,3.430518950092545,3.648304546637193,1.635839474942086,4.356599808,5.869722839685566,True,1.6833125678246657,4.213768083237502,6.0645296648607765,True,2.0717005623266247,1.7084969614754022,4.386963642819764,6.442658393160071,True,1.3754846988208638
