branch,rank,width,seed_count,mean_global_percent,nonconverged_fits,density_global_percent,u_ms_global_percent,v_ms_global_percent,temperature_k_global_percent,mach_global_percent,pressure_tecplot_global_percent
polynomial,2,0,1,8.638492325682568,0,4.469654619811435,11.38667205533236,14.173954922033616,3.7089731958407306,12.732560587758702,5.359138573318568
neural,2,8,3,8.858225218785412,7,4.722576601254492,11.737730371738689,14.370394203331351,3.7329731834197104,12.94261977145892,5.64305718150931
neural,2,16,3,8.899916074120407,6,4.72028576462336,11.797235870842933,14.55923453208711,3.7168876379765994,12.993093369030332,5.612759270162117
polynomial,4,0,1,8.62854727832551,0,4.485220116403959,11.442967580640955,14.023405950058892,3.6978850918596438,12.768222454172454,5.353582476817161
neural,4,8,3,9.352320447971936,21,4.866400718672695,12.51475018874312,15.676714653363753,3.7876827430535527,13.50043854340774,5.767935840590748
neural,4,16,3,9.287004059977356,24,4.848868004719493,12.443232777424468,15.456815848998684,3.7700324914369445,13.446878047465344,5.756197189819203
polynomial,6,0,1,8.598485431382754,0,4.482229777432322,11.450164506262563,13.846654524666729,3.7037262937522835,12.747332299830962,5.360805186351661
neural,6,8,3,9.513111721682302,21,4.777279746523157,12.944736882782651,16.066459940127,3.811045110616905,13.780013991915405,5.699134658128699
neural,6,16,3,9.489812939327637,24,4.8022860659653785,12.864118421030202,16.028067282773,3.8037632221260216,13.726246230994148,5.714396413077078
