protocol,case,geometry,Re,model,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_geometry_v1,g009_Re100_medium,g009,100,ordinary_DeepONet,43,390,46.61195373535156,91.27743530273438,0.3965014577259475,-5.435098952270082
diverse_geometry_v1,g009_Re25_medium,g009,25,ordinary_DeepONet,43,390,40.1977653503418,97.00440979003906,0.6753246753246753,-0.7421420256111761
diverse_geometry_v1,g009_Re50_medium,g009,50,ordinary_DeepONet,43,390,43.026424407958984,85.99314880371094,0.45327510917030567,-3.405122235157159
diverse_geometry_v1,g023_Re100_medium,g023,100,ordinary_DeepONet,43,390,35.98532485961914,257.5998229980469,0.2483454144342893,-16.033670033670035
diverse_geometry_v1,g023_Re25_medium,g023,25,ordinary_DeepONet,43,390,24.4952392578125,276.3406982421875,0.209478672985782,-5.037037037037037
diverse_geometry_v1,g023_Re50_medium,g023,50,ordinary_DeepONet,43,390,29.968048095703125,267.3259582519531,0.2713734142305571,-8.84175084175084
diverse_geometry_v1,g036_Re100_medium,g036,100,ordinary_DeepONet,43,390,31.430883407592773,308.576416015625,0.2623928438315319,-13.349072512647556
diverse_geometry_v1,g036_Re25_medium,g036,25,ordinary_DeepONet,43,390,18.60086441040039,333.98382568359375,0.2631578947368421,-2.1989881956155144
diverse_geometry_v1,g036_Re50_medium,g036,50,ordinary_DeepONet,43,390,24.368072509765625,349.6796875,0.3175832687838885,-5.9426644182124795
diverse_geometry_v1,g048_Re100_medium,g048,100,ordinary_DeepONet,43,390,19.029205322265625,333.4072570800781,0.5287907869481766,-2.156735751295337
diverse_geometry_v1,g048_Re25_medium,g048,25,ordinary_DeepONet,43,390,18.24802017211914,490.538330078125,0.3559870550161812,-0.7577720207253887
diverse_geometry_v1,g048_Re50_medium,g048,50,ordinary_DeepONet,43,390,15.695890426635742,660.673583984375,0.7383966244725738,-0.7642487046632125
