Re,nominal_level,raw_coverage,calibrated_coverage,raw_mean_width,calibrated_mean_width
175.0,0.5,0.07482993197278912,0.07898715041572184,0.000139949295798128,0.00014788765749794682
175.0,0.8,0.15961199294532627,0.17145376669186194,0.0002659080276235707,0.0002809911624841155
175.0,0.9,0.21352985638699926,0.22675736961451248,0.00034128925860761334,0.0003606482526178322
175.0,0.95,0.2582514487276392,0.2722348198538675,0.0004066712345833756,0.00042973889873005005
275.0,0.5,0.06651549508692366,0.07054673721340388,0.0004575485429921825,0.0004835021271726738
275.0,0.8,0.281305114638448,0.3309397833207357,0.0008693565045485385,0.0009186691240929169
275.0,0.9,0.6541950113378685,0.7498110355253212,0.001115806993698961,0.0011790990556750864
275.0,0.95,0.8953136810279667,0.9395313681027967,0.0013295660388949588,0.0014049831823707544
375.0,0.5,0.2703451751070799,0.30587049634668684,0.001013588534171668,0.0010710824454711622
375.0,0.8,0.9169816074577979,0.9414210128495842,0.0019258498330154523,0.0020350900579613885
375.0,0.9,0.9760644998740237,0.9802217183169564,0.002471801500592143,0.002612009811394652
375.0,0.95,0.9860166288737717,0.9892920131015369,0.002945333152270571,0.0031124016591598004
