protocol,case,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_family_v1,g012_Re25_medium,17,380,37.55877685546875,969.9488525390625,0.4336399474375821,-1.4255956255695874
diverse_family_v1,g012_Re50_medium,17,380,43.15260314941406,691.75732421875,0.27148846960167716,-9.00924358807447
diverse_family_v1,g045_Re100_medium,17,380,22.952106475830078,522.47705078125,0.400278940027894,-6.004932182490753
diverse_family_v1,g045_Re25_medium,17,380,26.440391540527344,1096.9580078125,0.5103211009174312,2.0283600493218246
diverse_family_v1,g045_Re50_medium,17,380,21.27074432373047,997.6893920898438,0.6086572438162544,-1.6707768187422936
diverse_family_v1,g046_Re100_medium,17,380,22.689573287963867,515.0209350585938,0.44107050952135873,-4.744707347447073
diverse_family_v1,g046_Re25_medium,17,380,26.543699264526367,1011.5470581054688,0.3609550561797753,2.26027397260274
diverse_family_v1,g046_Re50_medium,17,380,21.769672393798828,982.4515991210938,0.6349372384937239,-0.1805728518057284
diverse_family_v1,g047_Re100_medium,17,380,23.269001007080078,475.3609924316406,0.48719723183391006,-2.4841168996188054
diverse_family_v1,g047_Re25_medium,17,380,24.619848251342773,854.0322875976562,0.4597156398104265,0.8386277001270648
diverse_family_v1,g047_Re50_medium,17,380,21.678741455078125,896.7913208007812,0.5947521865889213,0.673443456162643
diverse_family_v1,g048_Re100_medium,17,380,23.34001922607422,454.19183349609375,0.4115082824760244,-1.988341968911917
diverse_family_v1,g048_Re25_medium,17,380,22.847267150878906,739.1397094726562,0.6059479553903345,-0.6735751295336788
diverse_family_v1,g048_Re50_medium,17,380,19.56166648864746,869.513916015625,0.7601626016260162,-0.49222797927461137
diverse_family_v1,g049_Re100_medium,17,380,23.096830368041992,509.9211120605469,0.3984302862419206,-6.105976586568083
diverse_family_v1,g049_Re25_medium,17,380,26.27017593383789,1094.9451904296875,0.5385500575373993,1.8422674060382012
diverse_family_v1,g049_Re50_medium,17,380,21.251827239990234,963.227294921875,0.6185476815398075,-1.885397412199631
diverse_family_v1,g050_Re25_medium,17,380,26.416061401367188,1045.5001220703125,0.3401920438957476,2.3555003107520194
diverse_family_v1,g051_Re25_medium,17,380,24.993488311767578,986.206787109375,0.5080091533180778,0.6776440785307154
