Re,method,final_relative_L2_uv,max_time_relative_L2_uv,final_relative_L2_omega,max_time_relative_L2_omega,wall_rms_error,divergence_l2,vortex_position_error
175,POD-Galerkin,0.00277021168245,0.00454053593493,0.00414979901144,0.00951779962055,0,9.51437553616e-17,0
175,POD-DEIM,0.00286362802286,0.0048055407822,0.00468847010399,0.00959463738673,0,1.43031273969e-16,0
275,POD-Galerkin,0.00236112645002,0.00368326838425,0.00402475416191,0.0127217733495,0,7.96869341128e-17,0
275,POD-DEIM,0.00412550841211,0.00508806218882,0.00500705753545,0.012766409081,0,1.04428217669e-16,0
375,POD-Galerkin,0.00385177787512,0.0049406398599,0.00520948881347,0.0154669359475,0,5.56193813252e-17,0
375,POD-DEIM,0.00411907994373,0.00633819182587,0.00558235352052,0.0155025314313,0,6.47582604023e-17,0
