train,test,case,pressure_full_percent,pressure_core_percent,gradient_residual
constant,constant,constant_test_0000,0.09561005171489606,0.19738405039518103,0.7698694700435644
constant,constant,constant_test_0001,0.05480744588432815,0.11630918692569424,0.7379996123639398
constant,constant,constant_test_0002,0.09848879289045871,0.2249831175429765,0.7076584366823285
constant,constant,constant_test_0003,0.07805725437536207,0.15578664176719464,0.7639460069982287
constant,constant,constant_test_0004,0.09609129049589268,0.1868255699647039,0.7663376000255607
constant,constant,constant_test_0005,0.10459059314969794,0.23404893801781534,0.7550165131779805
constant,diverse,diverse_test_0000,29.789884236281402,46.536037301104436,0.6693452045623356
constant,diverse,diverse_test_0001,7.793348830130293,13.12702764884847,0.7708520994664126
constant,diverse,diverse_test_0002,12.753532088030461,18.831316503030678,0.5683302322217227
constant,diverse,diverse_test_0003,35.98430957460741,77.30497790221993,0.7244489068627561
constant,diverse,diverse_test_0004,39.64679061036866,117.25053771528137,0.7281907096771956
constant,diverse,diverse_test_0005,25.652587907220024,65.90963125788551,0.675676833374309
constant,ood_shape,ood_shape_0000,17.02089479666808,31.68523748054707,0.6649857659571328
constant,ood_shape,ood_shape_0001,43.60291330833957,88.34263023063272,0.5456236845421527
constant,ood_shape,ood_shape_0002,36.77833777475084,44.7711037547002,0.6554346951879765
constant,ood_shape,ood_shape_0003,35.4568367269774,69.23575931294667,0.5507050702802981
constant,ood_shape,ood_shape_0004,42.55654463560312,141.87434542613943,0.6976161027996188
constant,ood_shape,ood_shape_0005,36.55475778308096,41.91427595859045,0.7023358593453186
constant,ood_re,ood_re_0000,62.859324967641804,117.69724289932671,0.6849635261576715
constant,ood_re,ood_re_0001,47.41723284463507,86.10861643033533,0.7431739008372864
constant,ood_re,ood_re_0002,58.93257489556648,115.96098878019521,0.704509588155195
constant,ood_re,ood_re_0003,72.68431546596788,153.66135734838204,0.6210834837945437
constant,ood_re,ood_re_0004,51.59201218647759,91.74596605556475,0.6633355525145126
constant,ood_re,ood_re_0005,53.89247450915391,89.98794563959665,0.7346070158282794
diverse,constant,constant_test_0000,4.144353263902498,7.354835417402943,0.766605190405744
diverse,constant,constant_test_0001,1.7561131797996306,3.082596010296776,0.7377578482628054
diverse,constant,constant_test_0002,1.0677489962707105,1.675262040757696,0.708866593686305
diverse,constant,constant_test_0003,3.3012753431381663,5.798906936981701,0.7616232121103343
diverse,constant,constant_test_0004,3.603112153824469,6.349288255354929,0.7636480711903345
diverse,constant,constant_test_0005,2.5104700082199827,4.409837544688244,0.7537708873843699
diverse,diverse,diverse_test_0000,0.5029088241173607,0.8735143366038856,0.6975788755114104
diverse,diverse,diverse_test_0001,0.5497343152263809,1.0442878718069615,0.7794236476174841
diverse,diverse,diverse_test_0002,0.4141922544123502,0.7563457437011227,0.5825974154333511
diverse,diverse,diverse_test_0003,2.691855362837341,5.507970200357849,0.7470130666692939
diverse,diverse,diverse_test_0004,1.7104628969268174,4.788251268147352,0.7697997085271068
diverse,diverse,diverse_test_0005,0.8537733787672545,2.0716037132761427,0.7066393901373067
diverse,ood_shape,ood_shape_0000,6.961143013059286,12.287201406882357,0.6930042214875235
diverse,ood_shape,ood_shape_0001,7.277654707053461,16.772259414861153,0.5487316841129927
diverse,ood_shape,ood_shape_0002,9.40927205727307,14.901380839245514,0.6538908773477977
diverse,ood_shape,ood_shape_0003,4.620394029409746,12.123113796588813,0.569926095834633
diverse,ood_shape,ood_shape_0004,11.353751481830683,38.92825220530693,0.7298624707454971
diverse,ood_shape,ood_shape_0005,9.665306564875731,12.183526678758431,0.688237650364583
diverse,ood_re,ood_re_0000,15.250434322559206,28.195975460899934,0.7171561641174785
diverse,ood_re,ood_re_0001,7.2122874556799985,13.196469577048225,0.768435900467066
diverse,ood_re,ood_re_0002,8.851614676460077,16.848461151934867,0.7398726237935634
diverse,ood_re,ood_re_0003,15.67307067037479,31.061349124652367,0.6731905524602284
diverse,ood_re,ood_re_0004,4.6741536824905605,8.099066577398109,0.7075954708629741
diverse,ood_re,ood_re_0005,10.578892336060667,18.515681496575432,0.7673803169285514
