train_family,,constant,constant,diverse,diverse
test_family,,constant,diverse,constant,diverse
mode,model,,,,
baseline,rbf_direct,0.12035397333035981,21.14589702351095,9.389993100944425,6.458968004770556
baseline,stokes,57.20153506363791,52.74061588731557,57.20153506363791,52.74061588731557
direct,coordinate_mlp,39.844705141481974,71.00009127434426,43.27903686043915,43.43941142721979
direct,fno,8.258852332139657,26.93324346718399,12.595523441594123,12.460051070202221
direct,fno_physics,13.682429225810418,34.73578572769133,15.899628805245658,16.68736592118084
direct,pod_deeponet,2.6227496653962614,22.235047698365122,3.8172364032061576,4.1912054095986635
direct,unet,9.516022163640958,33.0824284531414,14.642794162240442,15.303124566061967
stokes_corrected,coordinate_mlp,31.46531481630831,51.3695813468113,42.672528468551484,37.80151242320498
stokes_corrected,fno,5.571436266458285,25.388669941682046,8.408588920906986,7.113428531711759
stokes_corrected,fno_physics,12.46669696927815,28.80289700379823,14.037240959811156,13.037725512006364
stokes_corrected,pod_deeponet,2.543622957133278,26.58693352888339,5.339335668061345,4.092776514361816
stokes_corrected,unet,5.2724160534004545,12.671932617189361,6.597150450793728,7.1323936790829014
