train_family,test_family,mode,model,seed,case,Re,parameters,epoch,training_seconds,inference_seconds,checkpoint_sha256,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,diverse,direct,coordinate_mlp,7,diverse_test_0004,364.9641357923895,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,1.0058889642457378,0.956533072364062,0.906678306558654,9.9320402568992e-08,0.4082915821830017,0.04166666666666674
constant,diverse,direct,coordinate_mlp,7,diverse_test_0005,326.11288015095056,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.7174911049421168,0.7307496530579096,0.8562707475870772,8.144680663235704e-08,0.3863611562970429,0.05892556509887899
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0000,322.0476102060863,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.7791448437447346,0.7746627337252108,0.8420412643026796,9.984619708802711e-08,0.2980561940180463,0.04166666666666674
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0001,236.44026808360903,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,1.4904253834999488,1.2862900361708625,0.9749339400787224,1.1283799494776758e-07,0.3376632432346474,0.18633899812498256
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0002,180.95100059158364,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.9139598613744856,0.8852196281014901,0.8478447619023641,1.0652821913481603e-07,0.17667862292677913,0.0931694990624913
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0003,208.6074759394159,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,1.258277867541298,1.1052013565621517,0.9088543597108336,1.071483879400148e-07,0.2972858006092672,0.15023130314433292
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0004,374.64532673286527,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,1.253039252106157,1.1874329709834284,0.9489889802030321,1.051916669325692e-07,0.3263189802756299,0.04166666666666674
constant,ood_shape,direct,coordinate_mlp,7,ood_shape_0005,145.49153445980784,3457.0,300.0,3.1563516140013235,0.00018294683347145715,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.7218336982424496,0.7019648280901136,0.7938685199153972,1.0059789445904244e-07,0.267082091875911,0.0931694990624913
constant,ood_re,direct,coordinate_mlp,7,ood_re_0000,566.4474875225259,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.5230289569207992,0.6079140393937568,0.8734993540306888,8.201746481972805e-08,0.4844798341995658,0.0
constant,ood_re,direct,coordinate_mlp,7,ood_re_0001,490.14181715065223,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.34878328684087195,0.506096141976174,0.8563364590888248,7.930741929840224e-08,0.4986456595253283,0.04166666666666663
constant,ood_re,direct,coordinate_mlp,7,ood_re_0002,533.202596381457,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.4252968552163781,0.5625492854935993,0.873378650271915,8.286904318310917e-08,0.4483775340846381,0.04166666666666663
constant,ood_re,direct,coordinate_mlp,7,ood_re_0003,592.5167238454294,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,1.0828803625530792,1.0157786832089069,0.9323931794638516,9.230006270399826e-08,0.3007693552867249,0.04166666666666674
constant,ood_re,direct,coordinate_mlp,7,ood_re_0004,489.1490754145391,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.5164084264219916,0.6298543663163827,0.8553360155313254,8.528649431127633e-08,0.3002940477256885,0.04166666666666663
constant,ood_re,direct,coordinate_mlp,7,ood_re_0005,561.89866888648,3457.0,300.0,3.1563516140013235,0.00017321216607039483,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.5137745349762223,0.6081847370868629,0.8579009665674753,7.187718154000322e-08,0.41240031292077933,0.04166666666666663
constant,constant,direct,pod_deeponet,7,constant_test_0000,378.39963682209583,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.03826482221009042,0.05132494712755182,0.057909366784318274,7.141029101376262e-08,0.3198972687557532,0.0
constant,constant,direct,pod_deeponet,7,constant_test_0001,275.5175743523432,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.010276292964242291,0.018233143440257702,0.025171188968274257,8.156379749379994e-08,0.2557691577542337,0.04166666666666663
constant,constant,direct,pod_deeponet,7,constant_test_0002,205.77449124508615,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.011913413961123283,0.02137916327250956,0.029475271595851078,8.909408677482133e-08,0.21320615459871636,0.0
constant,constant,direct,pod_deeponet,7,constant_test_0003,356.31307787809095,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.024397758066419657,0.03209984149983279,0.03768277735868305,8.167453557916815e-08,0.306247421553139,0.04166666666666674
constant,constant,direct,pod_deeponet,7,constant_test_0004,364.9641357923895,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.029561725139693646,0.03928678956619331,0.04529194394276312,8.2954976221572e-08,0.3116094433898423,0.04166666666666674
constant,constant,direct,pod_deeponet,7,constant_test_0005,326.11288015095056,3704.0,167.0,0.5153091440006392,2.3914166376926005e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.009463518351922391,0.011564261326808347,0.01666325289848092,8.64453468807369e-08,0.2874156678041683,0.0
constant,diverse,direct,pod_deeponet,7,diverse_test_0000,378.39963682209583,3704.0,167.0,0.5153091440006392,2.0619333857515205e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.11402352222725169,0.18637121334242085,0.5592662281040722,8.255589989403234e-08,0.23488473494639717,0.05892556509887899
constant,diverse,direct,pod_deeponet,7,diverse_test_0001,275.5175743523432,3704.0,167.0,0.5153091440006392,2.0619333857515205e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.10407609270393924,0.12146513432969071,0.19159678412502648,7.16196240091449e-08,0.24155173056351265,0.04166666666666663
constant,diverse,direct,pod_deeponet,7,diverse_test_0002,205.77449124508615,3704.0,167.0,0.5153091440006392,2.0619333857515205e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.10405403234680369,0.10786141423406302,0.2697346515183524,6.98383644248679e-08,0.08838509723863874,0.0
constant,diverse,direct,pod_deeponet,7,diverse_test_0003,356.31307787809095,3704.0,167.0,0.5153091440006392,2.0619333857515205e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.17828893738329846,0.17622877030548265,0.1989497258329277,8.774863147209544e-08,0.1715164601129947,0.05892556509887899
constant,diverse,direct,pod_deeponet,7,diverse_test_0004,364.9641357923895,3704.0,167.0,0.5153091440006392,2.0619333857515205e-05,16e19e57ec765966882551985b72952d47a0053f4ce811fd12aba1b1952d822f,0.5304121080141123,0.5255613612105682,0.5495062619666181,8.590092903659752e-08,0.31955072752623886,0.0931694990624912
