family,mode,model,seed,epoch,train,validation
constant,direct,coordinate_mlp,7,1,0.26154473423957825,0.1447506546974182
constant,direct,coordinate_mlp,7,2,0.16362476348876953,0.08697245270013809
constant,direct,coordinate_mlp,7,3,0.10063695907592773,0.06372307240962982
constant,direct,coordinate_mlp,7,4,0.07168194651603699,0.06969021260738373
constant,direct,coordinate_mlp,7,5,0.0719994530081749,0.08942899107933044
constant,direct,coordinate_mlp,7,6,0.0873846784234047,0.10234875977039337
constant,direct,coordinate_mlp,7,7,0.09824313223361969,0.10173708945512772
constant,direct,coordinate_mlp,7,8,0.09762614965438843,0.09188194572925568
constant,direct,coordinate_mlp,7,9,0.08914835005998611,0.0791972279548645
constant,direct,coordinate_mlp,7,10,0.07860612124204636,0.06845048069953918
constant,direct,coordinate_mlp,7,11,0.07029049098491669,0.06191233545541763
constant,direct,coordinate_mlp,7,12,0.06612672656774521,0.05966675281524658
constant,direct,coordinate_mlp,7,13,0.06596630811691284,0.06040036678314209
constant,direct,coordinate_mlp,7,14,0.06835740059614182,0.06230664253234863
constant,direct,coordinate_mlp,7,15,0.07142947614192963,0.06384537369012833
constant,direct,coordinate_mlp,7,16,0.07363542914390564,0.06416752934455872
constant,direct,coordinate_mlp,7,17,0.0741584450006485,0.063153475522995
constant,direct,coordinate_mlp,7,18,0.07293089479207993,0.06120899319648743
constant,direct,coordinate_mlp,7,19,0.0704176053404808,0.058999739587306976
constant,direct,coordinate_mlp,7,20,0.0673469752073288,0.057212118059396744
constant,direct,coordinate_mlp,7,21,0.06447497755289078,0.05636046081781387
constant,direct,coordinate_mlp,7,22,0.06239721179008484,0.056646764278411865
constant,direct,coordinate_mlp,7,23,0.06141187995672226,0.05789518356323242
constant,direct,coordinate_mlp,7,24,0.06145252287387848,0.05959583818912506
constant,direct,coordinate_mlp,7,25,0.06212244927883148,0.0610739067196846
constant,direct,coordinate_mlp,7,26,0.06284704059362411,0.06173732876777649
constant,direct,coordinate_mlp,7,27,0.06310214102268219,0.061292730271816254
constant,direct,coordinate_mlp,7,28,0.06261631101369858,0.05982455611228943
constant,direct,coordinate_mlp,7,29,0.06144755333662033,0.057713545858860016
constant,direct,coordinate_mlp,7,30,0.05991028994321823,0.05545668303966522
constant,direct,coordinate_mlp,7,31,0.05840983986854553,0.053480520844459534
constant,direct,coordinate_mlp,7,32,0.05727095901966095,0.052017390727996826
constant,direct,coordinate_mlp,7,33,0.056626807898283005,0.05107355862855911
constant,direct,coordinate_mlp,7,34,0.0563962459564209,0.05048230662941933
constant,direct,coordinate_mlp,7,35,0.05634257197380066,0.050010424107313156
constant,direct,coordinate_mlp,7,36,0.05618329718708992,0.04947333782911301
constant,direct,coordinate_mlp,7,37,0.055706918239593506,0.048814043402671814
constant,direct,coordinate_mlp,7,38,0.05485266074538231,0.0481162890791893
constant,direct,coordinate_mlp,7,39,0.05372427776455879,0.04754820466041565
constant,direct,coordinate_mlp,7,40,0.05253467336297035,0.047258444130420685
constant,direct,coordinate_mlp,7,41,0.0515025332570076,0.047268494963645935
constant,direct,coordinate_mlp,7,42,0.05074213445186615,0.047417670488357544
constant,direct,coordinate_mlp,7,43,0.050199512392282486,0.04740770533680916
constant,direct,coordinate_mlp,7,44,0.0496799573302269,0.04694369435310364
constant,direct,coordinate_mlp,7,45,0.04896616190671921,0.0458948090672493
constant,direct,coordinate_mlp,7,46,0.04795866459608078,0.04436877369880676
constant,direct,coordinate_mlp,7,47,0.04674038290977478,0.04264805465936661
constant,direct,coordinate_mlp,7,48,0.045515842735767365,0.04102914780378342
constant,direct,coordinate_mlp,7,49,0.044463712722063065,0.03966793790459633
constant,direct,coordinate_mlp,7,50,0.04360264167189598,0.03853495791554451
constant,direct,coordinate_mlp,7,51,0.0427727997303009,0.0375157967209816
constant,direct,coordinate_mlp,7,52,0.04176575690507889,0.0365702360868454
constant,direct,coordinate_mlp,7,53,0.0405096709728241,0.03578828275203705
constant,direct,coordinate_mlp,7,54,0.03914090245962143,0.03526073694229126
constant,direct,coordinate_mlp,7,55,0.037875860929489136,0.03487495705485344
constant,direct,coordinate_mlp,7,56,0.03678740933537483,0.0342792272567749
constant,direct,coordinate_mlp,7,57,0.035719431936740875,0.03314221277832985
constant,direct,coordinate_mlp,7,58,0.03447174280881882,0.0314781591296196
constant,direct,coordinate_mlp,7,59,0.033061519265174866,0.02965603955090046
constant,direct,coordinate_mlp,7,60,0.03171546012163162,0.028056014329195023
constant,direct,coordinate_mlp,7,61,0.030565351247787476,0.02677895314991474
constant,direct,coordinate_mlp,7,62,0.029450563713908195,0.02577287331223488
constant,direct,coordinate_mlp,7,63,0.028170425444841385,0.025092091411352158
constant,direct,coordinate_mlp,7,64,0.026837320998311043,0.02471994236111641
constant,direct,coordinate_mlp,7,65,0.025701656937599182,0.024235108867287636
constant,direct,coordinate_mlp,7,66,0.024703649803996086,0.023166224360466003
constant,direct,coordinate_mlp,7,67,0.023608695715665817,0.021685976535081863
constant,direct,coordinate_mlp,7,68,0.022517718374729156,0.020398786291480064
constant,direct,coordinate_mlp,7,69,0.02166953682899475,0.01957669109106064
constant,direct,coordinate_mlp,7,70,0.020910125225782394,0.01920893043279648
constant,direct,coordinate_mlp,7,71,0.020078938454389572,0.019263653084635735
constant,direct,coordinate_mlp,7,72,0.019427336752414703,0.019236601889133453
constant,direct,coordinate_mlp,7,73,0.01896892488002777,0.018601959571242332
constant,direct,coordinate_mlp,7,74,0.01846586912870407,0.017794683575630188
constant,direct,coordinate_mlp,7,75,0.01810387149453163,0.017416294664144516
constant,direct,coordinate_mlp,7,76,0.017924528568983078,0.017520423978567123
constant,direct,coordinate_mlp,7,77,0.017695888876914978,0.017982570454478264
constant,direct,coordinate_mlp,7,78,0.01760942116379738,0.018187113106250763
constant,direct,coordinate_mlp,7,79,0.017618834972381592,0.01784561201930046
constant,direct,coordinate_mlp,7,80,0.01757737249135971,0.017599493265151978
constant,direct,coordinate_mlp,7,81,0.01767142489552498,0.017733965069055557
constant,direct,coordinate_mlp,7,82,0.017729753628373146,0.018155638128519058
constant,direct,coordinate_mlp,7,83,0.017786595970392227,0.01841357722878456
constant,direct,coordinate_mlp,7,84,0.017895635217428207,0.018184171989560127
constant,direct,coordinate_mlp,7,85,0.017914995551109314,0.017963971942663193
constant,direct,coordinate_mlp,7,86,0.017982060089707375,0.01799044758081436
constant,direct,coordinate_mlp,7,87,0.017985885962843895,0.01817641779780388
constant,direct,coordinate_mlp,7,88,0.0179717056453228,0.01817547343671322
constant,direct,coordinate_mlp,7,89,0.01795746013522148,0.01786649599671364
constant,direct,coordinate_mlp,7,90,0.017883136868476868,0.01761951670050621
constant,direct,coordinate_mlp,7,91,0.017837446182966232,0.017538588494062424
constant,direct,coordinate_mlp,7,92,0.01774449646472931,0.01754145696759224
constant,direct,coordinate_mlp,7,93,0.01766633614897728,0.01739419810473919
constant,direct,coordinate_mlp,7,94,0.017584096640348434,0.01711128279566765
constant,direct,coordinate_mlp,7,95,0.01749245449900627,0.01691523939371109
constant,direct,coordinate_mlp,7,96,0.01742822304368019,0.01683650352060795
constant,direct,coordinate_mlp,7,97,0.0173491183668375,0.01680549420416355
constant,direct,coordinate_mlp,7,98,0.017297755926847458,0.01668035425245762
constant,direct,coordinate_mlp,7,99,0.01724799908697605,0.016503438353538513
constant,direct,coordinate_mlp,7,100,0.017207344993948936,0.016396813094615936
constant,direct,coordinate_mlp,7,101,0.017185162752866745,0.016368631273508072
constant,direct,coordinate_mlp,7,102,0.017158912494778633,0.016366299241781235
constant,direct,coordinate_mlp,7,103,0.01715114526450634,0.016303110867738724
constant,direct,coordinate_mlp,7,104,0.017142266035079956,0.016212042421102524
constant,direct,coordinate_mlp,7,105,0.0171384084969759,0.01616603136062622
constant,direct,coordinate_mlp,7,106,0.017141470685601234,0.016169846057891846
constant,direct,coordinate_mlp,7,107,0.017139047384262085,0.01618574559688568
constant,direct,coordinate_mlp,7,108,0.017143748700618744,0.016157466918230057
constant,direct,coordinate_mlp,7,109,0.017143622040748596,0.016108084470033646
constant,direct,coordinate_mlp,7,110,0.017143234610557556,0.016087109223008156
constant,direct,coordinate_mlp,7,111,0.017143437638878822,0.0160994753241539
constant,direct,coordinate_mlp,7,112,0.01713784784078598,0.016116630285978317
constant,direct,coordinate_mlp,7,113,0.017134465277194977,0.016100110486149788
constant,direct,coordinate_mlp,7,114,0.017126381397247314,0.016068853437900543
constant,direct,coordinate_mlp,7,115,0.017117677256464958,0.016058990731835365
constant,direct,coordinate_mlp,7,116,0.01710846647620201,0.016073891893029213
constant,direct,coordinate_mlp,7,117,0.0170961432158947,0.01608865335583687
constant,direct,coordinate_mlp,7,118,0.017085619270801544,0.016076982021331787
constant,direct,coordinate_mlp,7,119,0.017072606831789017,0.016058167442679405
constant,direct,coordinate_mlp,7,120,0.017060816287994385,0.016058558598160744
constant,direct,coordinate_mlp,7,121,0.017048973590135574,0.016077101230621338
constant,direct,coordinate_mlp,7,122,0.01703692227602005,0.01608932577073574
constant,direct,coordinate_mlp,7,123,0.017026636749505997,0.01608046144247055
constant,direct,coordinate_mlp,7,124,0.017015622928738594,0.016071846708655357
constant,direct,coordinate_mlp,7,125,0.017006564885377884,0.01608072593808174
constant,direct,coordinate_mlp,7,126,0.016997285187244415,0.016099276021122932
constant,direct,coordinate_mlp,7,127,0.016989078372716904,0.01610453613102436
constant,direct,coordinate_mlp,7,128,0.016981404274702072,0.016095101833343506
constant,direct,coordinate_mlp,7,129,0.01697380468249321,0.016092244535684586
constant,direct,coordinate_mlp,7,130,0.01696709729731083,0.016103236004710197
constant,direct,coordinate_mlp,7,131,0.01695990189909935,0.016113299876451492
constant,direct,coordinate_mlp,7,132,0.016953447833657265,0.01610703393816948
