step,phase,train,validation_velocity_rel_l2
1,Adam,0.0008863793380102131,0.12160401322684206
21,Adam,7.058248311010468e-05,0.03801356156829824
41,Adam,3.584717704617116e-05,0.026261611620777454
61,Adam,3.2826530064639954e-05,0.025610477400685616
81,Adam,2.6898342731217876e-05,0.023397426726491838
101,Adam,1.9553239204825795e-05,0.0198623114475525
121,Adam,1.1359566091100629e-05,0.014948807018608729
141,Adam,5.2551157179727835e-06,0.009607981079196175
161,Adam,2.708081230461199e-06,0.005838105348491511
181,Adam,2.2088251552506784e-06,0.005051873867433453
201,Adam,2.064418482575313e-06,0.004903211746979284
221,Adam,1.9343215224510533e-06,0.004673006457945992
241,Adam,1.8136797926742019e-06,0.004490523997857064
261,Adam,1.6957611914108947e-06,0.004327097361887266
281,Adam,1.5823769518256456e-06,0.004162764309655925
301,Adam,1.4750550232962511e-06,0.004002127626708105
321,Adam,1.3740918118783161e-06,0.0038486061084227565
341,Adam,1.2790663451566428e-06,0.0037015736311757207
361,Adam,1.1891898175611824e-06,0.0035606797873729773
381,Adam,1.103645293667855e-06,0.0034242857594559187
401,Adam,1.0217994692118715e-06,0.0032909151421515637
421,Adam,9.432850155020852e-07,0.003159377220167536
441,Adam,8.679915710698347e-07,0.0030290649900900544
461,Adam,7.960161858129491e-07,0.00290114896169641
481,Adam,7.379032585973898e-07,0.0027284668103454653
501,Adam,6.638752400479933e-07,0.002625536323968305
521,Adam,6.029750437179426e-07,0.0025329767437586984
541,Adam,5.47175054843838e-07,0.0024104826511129845
561,Adam,4.961237177398326e-07,0.002293796403608558
581,Adam,4.498878569047898e-07,0.002188562897125359
601,Adam,4.0845912237072576e-07,0.002089443972448415
621,Adam,3.7172103710747906e-07,0.001997084293488948
641,Adam,3.394572339617101e-07,0.0019126333071838074
661,Adam,3.1136824277274137e-07,0.0018356388179929578
681,Adam,2.870946622284518e-07,0.0017660583192619574
701,Adam,2.6624176563645746e-07,0.0017034981603040065
721,Adam,2.4840278934816927e-07,0.0016475431248086617
741,Adam,2.3317876850120473e-07,0.0015977339517842157
761,Adam,2.201937067467227e-07,0.0015535989299312702
781,Adam,2.0910475766941745e-07,0.0015146542527201142
801,Adam,1.9960779003537575e-07,0.0014803775701743873
821,Adam,1.9143913867381738e-07,0.0014501868420458662
841,Adam,1.8437451939177596e-07,0.0014234648856236768
861,Adam,1.782260700215884e-07,0.0013996237969105348
881,Adam,1.7283834488229062e-07,0.0013781588449459797
901,Adam,1.6808390265983197e-07,0.0013586647778562832
921,Adam,1.6385893570056302e-07,0.0013408257613329246
941,Adam,1.6007922026400494e-07,0.0013243970205081682
961,Adam,1.5667653485123158e-07,0.0013091876000642904
981,Adam,1.535955989779512e-07,0.0012950467856208212
1001,Adam,1.5079152323534732e-07,0.0012818540280315712
