step,phase,train,validation_velocity_rel_l2
1,Adam,0.0007418965170673593,0.11256828618705442
21,Adam,4.737655510138009e-05,0.03165903359433356
41,Adam,3.9751508226589386e-05,0.028308235117098207
61,Adam,3.553285098800734e-05,0.026447409964726352
81,Adam,3.0592673217390486e-05,0.02478805967002861
101,Adam,2.3557385324451672e-05,0.02176983111394569
121,Adam,1.4338405638141754e-05,0.0168511740049136
141,Adam,6.580839148512774e-06,0.01084184499615253
161,Adam,3.1607676454343235e-06,0.006338763882760964
181,Adam,2.396255029080689e-06,0.0054704192576080085
201,Adam,2.0659289207639236e-06,0.004864966131589206
221,Adam,1.8267129083590522e-06,0.004468009764095999
241,Adam,1.6343497741192026e-06,0.004173842872559954
261,Adam,1.4699099530445212e-06,0.003930377253639797
281,Adam,1.3253430825426631e-06,0.003708523002166697
301,Adam,1.1979890998111337e-06,0.003513627342625911
321,Adam,1.0861670765644588e-06,0.003337620872187518
341,Adam,9.87898924547942e-07,0.003179815303530748
361,Adam,9.013598333920862e-07,0.0030397315952761196
381,Adam,8.249905478657372e-07,0.0029160291068645395
401,Adam,7.573923339363174e-07,0.0028065434800645323
421,Adam,6.973076486465215e-07,0.0027086301331140407
441,Adam,6.436546302897644e-07,0.002619795274564368
461,Adam,5.955506232160885e-07,0.0025380984060795336
481,Adam,5.523001324578834e-07,0.0024622253428595825
501,Adam,5.133568664513501e-07,0.0023913544599544045
521,Adam,4.782797802947824e-07,0.0023249743384002163
541,Adam,4.466964829200951e-07,0.0022627352509935646
561,Adam,4.1827807882639867e-07,0.0022043560191391132
581,Adam,3.9272411786886066e-07,0.0021495769960515943
601,Adam,3.6975473200511237e-07,0.002098141163650683
621,Adam,3.4910729788335644e-07,0.002049789552730341
641,Adam,3.305357079113615e-07,0.0020042633272967475
661,Adam,3.13810989379652e-07,0.001961309030138817
681,Adam,2.987224472339033e-07,0.001920685451507012
701,Adam,2.850787608511998e-07,0.0018821709415126557
721,Adam,2.7270863220710773e-07,0.0018455696540757268
741,Adam,2.6146074530906524e-07,0.0018107150921265306
761,Adam,2.5120298201500645e-07,0.00177746999056235
781,Adam,2.4182101109582705e-07,0.0017457228858166487
801,Adam,2.3321647022744957e-07,0.0017153828878504157
821,Adam,2.2530497542562207e-07,0.0016863744459239233
841,Adam,2.180141466152971e-07,0.001658633259811668
861,Adam,2.1128177276820223e-07,0.0016321035594934787
881,Adam,2.0505418183969761e-07,0.0016067363801303097
901,Adam,1.992848382472154e-07,0.0015824883517797086
921,Adam,1.939331633634473e-07,0.0015593206919366823
941,Adam,1.8896355921127645e-07,0.0015371982839240922
961,Adam,1.8434460870215782e-07,0.0015160888361246696
981,Adam,1.8004842429570974e-07,0.0014959621509314089
1001,Adam,1.7605011856291522e-07,0.0014767895261383673
1021,Adam,1.7232737323327415e-07,0.001458543294003933
1041,Adam,1.6886008691264088e-07,0.00144119648798291
1061,Adam,1.6563008520888534e-07,0.0014247226181198576
1081,Adam,1.6262088020849372e-07,0.0014090955328130675
1101,Adam,1.5981746899087988e-07,0.0013942893452149234
1121,Adam,1.5720616312941305e-07,0.0013802784051494517
1141,Adam,1.547744429425032e-07,0.0013670373008499684
