train_family,test_family,mean,max,std
constant,constant,0.0009675907214070223,0.0013995062432896697,0.00039168872692209257
constant,diverse,0.16554512285456854,0.2907223551337622,0.07608880468989175
constant,ood_re,0.3070025649155542,0.3951675066781361,0.049242284818873265
constant,ood_shape,0.33067815164617964,0.49007457606269716,0.12238226920338222
diverse,constant,0.01959813302130412,0.02543024793045789,0.0045124149682314995
diverse,diverse,0.008100918978921878,0.016078946340908635,0.004914841217642376
diverse,ood_re,0.06425043421416239,0.11351230533296275,0.02923447245313669
diverse,ood_shape,0.07878082244729469,0.10848812466314829,0.025045542592811682
