train_family,test_family,case,Re,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,constant_test_0000,378.39963682209583,0.0003619814899472636,0.0007188087137309978,0.0009193627215676874,4.3747779697517066e-16,0.13815733684468517,0.0
constant,constant,constant_test_0001,275.5175743523432,0.00017849168619540832,0.0003058439468480346,0.00038355114766560147,4.372523095366374e-16,0.11623244970874201,0.0
constant,constant,constant_test_0002,205.77449124508615,0.0007785290645389648,0.0013995062432896697,0.0016797785089922332,4.070283378564232e-16,0.1011477406163872,0.020000000000000018
constant,constant,constant_test_0003,356.31307787809095,0.0004959829673193157,0.0011625250938326506,0.0021846168685533502,4.299663252937716e-16,0.1337350855073161,0.0
constant,constant,constant_test_0004,364.9641357923895,0.0005059504390334364,0.001073991981987895,0.0018830435705878604,4.3504641400662345e-16,0.13551521623649398,0.0
constant,constant,constant_test_0005,326.11288015095056,0.00039736625163439525,0.001144868348752886,0.001877671186578701,4.4003696686657526e-16,0.1272272199158192,0.0
constant,diverse,diverse_test_0000,378.39963682209583,0.08692497713625767,0.1612143034714245,0.24357268608994337,3.733457713014772e-16,0.0762304991939358,0.044721359549995836
constant,diverse,diverse_test_0001,275.5175743523432,0.03225913651863905,0.06354096984189492,0.09753002534886034,3.800201916208039e-16,0.096216291247459,0.020000000000000018
constant,diverse,diverse_test_0002,205.77449124508615,0.08337044450176442,0.1224308014113786,0.18737276125855354,4.1714103033760384e-16,0.07937967605668123,0.020000000000000018
constant,diverse,diverse_test_0003,356.31307787809095,0.11244848591885379,0.19640516344210623,0.24894861329339182,3.785262752216744e-16,0.09337008486358152,0.08485281374238578
constant,diverse,diverse_test_0004,364.9641357923895,0.1612164541459607,0.2907223551337622,0.29022203276606634,3.254702488560741e-16,0.09256332838316121,0.10198039027185579
constant,diverse,diverse_test_0005,326.11288015095056,0.0876724534608216,0.15895714382684467,0.1795543758199897,3.7824371545821e-16,0.08712999399739134,0.06324555320336764
constant,ood_shape,ood_shape_0000,322.0476102060863,0.05515166941747317,0.12951903174504778,0.20748944854647386,3.663045777649133e-16,0.07564739631962031,0.044721359549995836
constant,ood_shape,ood_shape_0001,236.44026808360903,0.37626875895505835,0.49007457606269716,0.4865919885960407,3.409542828388692e-16,0.07406808047576036,0.039999999999999925
constant,ood_shape,ood_shape_0002,180.95100059158364,0.2289596118012411,0.3550968557472541,0.492790560028826,4.053565639199619e-16,0.07459205174789461,0.07999999999999996
constant,ood_shape,ood_shape_0003,208.6074759394159,0.2701605519764553,0.3691380588425177,0.38416817410000675,3.6346751219621e-16,0.07797924932608709,0.04472135954999574
constant,ood_shape,ood_shape_0004,374.64532673286527,0.2301794096837443,0.37807064205057306,0.3486812815505415,3.124468100015913e-16,0.08368341328690267,0.07211102550927985
constant,ood_shape,ood_shape_0005,145.49153445980784,0.14715689263068252,0.26216974542898797,0.40793510593818844,3.4643634368431937e-16,0.08304440300573886,0.08246211251235318
constant,ood_re,ood_re_0000,566.4474875225259,0.20069479758335879,0.32789653293031673,0.42413384509561264,3.961637312581523e-16,0.08416916237205553,0.0721110255092798
constant,ood_re,ood_re_0001,490.14181715065223,0.16901033123623743,0.26979173834338516,0.3550892076458849,4.0162378509139517e-16,0.09006254599217711,0.0721110255092798
constant,ood_re,ood_re_0002,533.202596381457,0.18389098739560578,0.3031414528218032,0.38879917132872,4.048747101742621e-16,0.08679805672833152,0.10000000000000003
constant,ood_re,ood_re_0003,592.5167238454294,0.22443901604007502,0.3951675066781361,0.4487250874456136,3.568818659046754e-16,0.07654812162405511,0.128062484748657
constant,ood_re,ood_re_0004,489.1490754145391,0.14757688769888097,0.2629162528410607,0.3466900119313043,3.8494793649953835e-16,0.07737109080890274,0.08485281374238571
constant,ood_re,ood_re_0005,561.89866888648,0.16992154877623555,0.2831019058786235,0.38128599579453737,3.950155852933739e-16,0.08250435975152674,0.0721110255092798
diverse,constant,constant_test_0000,378.39963682209583,0.016608498201775408,0.02543024793045789,0.0415531630199786,4.525114692210689e-16,0.13023969980680056,0.0
diverse,constant,constant_test_0001,275.5175743523432,0.011675004858191318,0.015739595566854274,0.01806379017855874,4.145527316733915e-16,0.1142616368620508,0.0
