start_tU_D,end_tU_D,Cd_cycle,St_cycle
4.679149690697195751e+01,5.232435672976384922e+01,1.530646746990913076e+00,1.807383581056275779e-01
5.232435672976384922e+01,5.781811353692925337e+01,1.546804058383949965e+00,1.820248028991233724e-01
5.781811353692925337e+01,6.332403950188943043e+01,1.555417923338995978e+00,1.816224929946425037e-01
6.332403950188943043e+01,6.883507672267585065e+01,1.559678354770763553e+00,1.814540457517180294e-01
6.883507672267585065e+01,7.434089667892286002e+01,1.561688428698600806e+00,1.816259899427660751e-01
7.434089667892286002e+01,7.983257458074984925e+01,1.562614405289014519e+00,1.820937094047916927e-01
7.983257458074984925e+01,8.531882617478606790e+01,1.563009283128736326e+00,1.822738135245275948e-01
8.531882617478606790e+01,9.081489094091011793e+01,1.563141071032819518e+00,1.819483653401746115e-01
9.081489094091011793e+01,9.631619663975519074e+01,1.563169335998926490e+00,1.817750284645946734e-01
