start_tU_D,end_tU_D,Cd_cycle,St_cycle
4.634776253553464187e+01,5.188637721756611398e+01,1.506571696284503714e+00,1.805505631659533594e-01
5.188637721756611398e+01,5.738891110313020505e+01,1.522056981079344284e+00,1.817344555793653504e-01
5.738891110313020505e+01,6.285285585339202186e+01,1.530325995890155832e+00,1.830179560201597722e-01
6.285285585339202186e+01,6.831371429942356599e+01,1.534400295358471000e+00,1.831213919721191852e-01
6.831371429942356599e+01,7.379324770967593849e+01,1.536310633269713399e+00,1.824972903950124181e-01
7.379324770967593849e+01,7.927009270469761759e+01,1.537205111726441586e+00,1.825868727175912476e-01
7.927009270469761759e+01,8.473066256986963651e+01,1.537625085922359469e+00,1.831310695936857191e-01
8.473066256986963651e+01,9.019224166562740663e+01,1.537794024349695254e+00,1.830972292933998880e-01
9.019224166562740663e+01,9.566526163690753037e+01,1.537844100905440214e+00,1.827144803504349158e-01
