start_tU_D,end_tU_D,Cd_cycle,St_cycle
4.631459479590170503e+01,5.185907484610408602e+01,1.498951620012121344e+00,1.803595631953799905e-01
5.185907484610408602e+01,5.736100387608875906e+01,1.514158406633727916e+00,1.817544345901505876e-01
5.736100387608875906e+01,6.281682917310636327e+01,1.522288566148763733e+00,1.832903264968261114e-01
6.281682917310636327e+01,6.828571062226485822e+01,1.526286930944993570e+00,1.828527477321475747e-01
6.828571062226485822e+01,7.377111175417016398e+01,1.528177548446216338e+00,1.823020734406453069e-01
7.377111175417016398e+01,7.924826742566571625e+01,1.529063902438474232e+00,1.825765159833310503e-01
7.924826742566571625e+01,8.470572795283990786e+01,1.529475228957781541e+00,1.832354068381669421e-01
8.470572795283990786e+01,9.017139288833935495e+01,1.529624590913045035e+00,1.829603555653418478e-01
9.017139288833935495e+01,9.564893751757313112e+01,1.529664505259712204e+00,1.825635513151235567e-01
