protocol,case,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_family_v1,g012_Re25_medium,29,260,35.996456146240234,859.1432495117188,0.27906976744186046,-2.441088399947924
diverse_family_v1,g012_Re50_medium,29,260,45.17910385131836,680.626220703125,0.19444444444444445,-9.966150240854056
diverse_family_v1,g045_Re100_medium,29,260,24.265121459960938,561.5737915039062,0.26793778223783243,-8.995067817509247
diverse_family_v1,g045_Re25_medium,29,260,25.74263572692871,950.278564453125,0.5612648221343873,1.2145499383477187
diverse_family_v1,g045_Re50_medium,29,260,21.125011444091797,928.8218994140625,0.4143126177024482,-3.6374845869297165
diverse_family_v1,g046_Re100_medium,29,260,23.93920135498047,566.191650390625,0.29983155530600786,-7.764632627646326
diverse_family_v1,g046_Re25_medium,29,260,25.869972229003906,889.8302001953125,0.4192495921696574,1.643835616438356
diverse_family_v1,g046_Re50_medium,29,260,21.476802825927734,935.8421020507812,0.47641509433962265,-2.11706102117061
diverse_family_v1,g047_Re100_medium,29,260,24.363183975219727,545.0885620117188,0.3996852871754524,-4.834815756035578
diverse_family_v1,g047_Re25_medium,29,260,24.021419525146484,765.6632080078125,0.5173333333333333,0.5400254129606097
diverse_family_v1,g047_Re50_medium,29,260,21.323204040527344,891.1614990234375,0.6345811051693404,-0.4510800508259211
diverse_family_v1,g048_Re100_medium,29,260,24.432876586914062,531.6860961914062,0.3558091286307054,-4.009067357512953
diverse_family_v1,g048_Re25_medium,29,260,22.310712814331055,661.5670776367188,0.5464684014869888,-0.7772020725388601
diverse_family_v1,g048_Re50_medium,29,260,19.363988876342773,881.3770751953125,0.6059322033898306,-1.1917098445595857
diverse_family_v1,g049_Re100_medium,29,260,24.497848510742188,547.8670043945312,0.2656716417910448,-9.094269870609981
diverse_family_v1,g049_Re25_medium,29,260,25.608642578125,951.6220703125,0.5083655083655083,0.825631546518793
diverse_family_v1,g049_Re50_medium,29,260,21.19349479675293,899.4862060546875,0.4125230202578269,-3.832409118915589
diverse_family_v1,g050_Re25_medium,29,260,25.787694931030273,918.8157958984375,0.26875,1.330018645121193
diverse_family_v1,g051_Re25_medium,29,260,24.4686279296875,867.7637329101562,0.3956043956043956,-0.2786573780873972
