head,rank,hidden,input_transform,trunk_energy_fraction,mean_validation_relative_L2,min_validation_relative_L2,max_validation_relative_L2,mean_iterations
pressure,3,8,log,0.9999768483097191,0.001848794649353596,0.0017789519985411048,0.0018927919457878192,299.6666666666667
pressure,4,4,log,0.9999994216209624,0.0019123608471573958,0.0015451075164378205,0.0023229859135858173,1297.3333333333333
pressure,3,8,linear,0.9999768483097191,0.0019915351808081896,0.001828920262215746,0.00227477348406803,266.0
pressure,3,8x8,linear,0.9999768483097191,0.002447874279232391,0.0018511318247782576,0.0028305667782656846,246.33333333333334
pressure,4,8,log,0.9999994216209624,0.0032701427009818713,0.001506069285731524,0.006764807157050287,418.0
pressure,3,4,linear,0.9999768483097191,0.0034784146610774055,0.0018639682742719757,0.006239322015194033,390.6666666666667
pressure,3,4,log,0.9999768483097191,0.0037060517553146465,0.0035931817159779865,0.003773297228880088,433.0
pressure,3,16x16,linear,0.9999768483097191,0.003720647387666477,0.0020807223392885323,0.006335650675202613,203.0
pressure,3,32x32,log,0.9999768483097191,0.00389316670693785,0.0023755969822412746,0.0063700946486169915,196.33333333333334
pressure,4,8,linear,0.9999994216209624,0.004135163010467023,0.0027164031779345434,0.005115081354907128,395.3333333333333
pressure,3,32x32,linear,0.9999768483097191,0.004278222829161424,0.003862921618136135,0.004666644855433987,209.33333333333334
pressure,3,16x16,log,0.9999768483097191,0.004384066595796979,0.003362727824054565,0.005231507297625016,149.66666666666666
pressure,3,8x8,log,0.9999768483097191,0.004524821983766463,0.0032728836960242303,0.006564751401128528,220.33333333333334
pressure,4,4,linear,0.9999994216209624,0.004555082778212271,0.0023259868305937114,0.006498770383976327,2314.6666666666665
pressure,4,8x8,linear,0.9999994216209624,0.004705157501802126,0.0032502052804218398,0.0070327204886930965,216.66666666666666
pressure,2,32x32,log,0.9990705706453888,0.006917985894139366,0.0069023504154024215,0.006938764353963133,115.33333333333333
pressure,2,8,log,0.9990705706453888,0.006924396859040655,0.006909170397361948,0.006941721161624532,164.33333333333334
pressure,2,8x8,linear,0.9990705706453888,0.006964547886305625,0.006930760728298375,0.007024086094720014,107.66666666666667
pressure,2,8x8,log,0.9990705706453888,0.00696513382713879,0.0069005326515809715,0.0070563561957674575,179.0
pressure,2,8,linear,0.9990705706453888,0.006973984222414899,0.006906661898105697,0.007031631210162167,176.33333333333334
pressure,2,4,log,0.9990705706453888,0.006985165706073475,0.006972990309539823,0.007006007769537635,117.66666666666667
pressure,2,16x16,linear,0.9990705706453888,0.006992188238351929,0.006908883531372124,0.007152501346592444,125.33333333333333
pressure,2,4,linear,0.9990705706453888,0.006994157345799049,0.006931849379868661,0.007105698165609782,137.66666666666666
pressure,2,32x32,linear,0.9990705706453888,0.007053612401484075,0.007015300976267538,0.007099950011849016,146.0
pressure,2,16x16,log,0.9990705706453888,0.007369969467241802,0.006917819908556024,0.008010233238562306,104.0
pressure,4,32x32,log,0.9999994216209624,0.007417699084035635,0.00734116050964787,0.007560783942118376,168.0
pressure,4,16x16,log,0.9999994216209624,0.00928255292263993,0.002057645688329175,0.018052001766047446,150.66666666666666
pressure,4,16x16,linear,0.9999994216209624,0.009439671561323866,0.006885151913843459,0.013556117860923951,159.0
pressure,4,8x8,log,0.9999994216209624,0.010769196107386659,0.006593211960215614,0.01665080170739434,336.0
pressure,4,32x32,linear,0.9999994216209624,0.0246396373735268,0.006106323711675951,0.05131897533457382,134.66666666666666
velocity,3,32x32,linear,0.9999015963719956,0.0023955208397705343,0.001888268573370337,0.002678720157289249,209.66666666666666
velocity,3,64x64,linear,0.9999015963719956,0.0024569847615447155,0.00200344477357117,0.0033461145229036525,177.33333333333334
velocity,3,16x16,linear,0.9999015963719956,0.0033699348803764794,0.0020727951411943996,0.005510257679449445,144.0
velocity,4,32x32,linear,0.999997607147968,0.0034419088976441227,0.001007386606293456,0.006337619363035653,150.0
velocity,4,16x16,linear,0.999997607147968,0.00473208649997058,0.0025343562356893398,0.008175429538827779,163.33333333333334
velocity,4,64x64,linear,0.999997607147968,0.01676397601417136,0.007582004141589421,0.029470950216871173,129.33333333333334
