model,Re,velocity_L2_pct,pressure_raw_L2_pct,pressure_centered_L2_pct,pressure_reference_fluctuation_rms,vorticity_interior_L2_pct,reverse_IoU,reverse_area_relative_error_pct,reference_reverse_cells,predicted_reverse_cells,derivative_cells,source_reverse_IoU,reverse_IoU_delta_from_source
Geo-DeepONet,25,29.889763323609035,5.851792003142072,47.87429699576708,0.8595712543349192,46.309051319205395,0.39944521497919555,122.36421725239616,626,1392,12904,0.38521677327647474,0.014228441702720807
Geo-DeepONet,50,26.11107704306293,2.7847336357054835,32.39589092534301,0.5247826215275802,42.569311211443534,0.6029810298102981,43.666323377960865,971,1395,12904,0.590687977762335,0.01229305204796316
Geo-DeepONet,100,24.92153826608358,8.107519938565938,41.58074815013604,0.37044384137461267,45.36251071532502,0.7089508002371073,6.1197041022192336,1487,1396,12904,0.696256038647343,0.012694761589764347
FNO,25,17.377804440451538,4.369932775522203,52.366649345941696,0.8595712543349192,35.83623546326091,0.6641883519206939,14.536741214057509,626,717,12904,0.6532467532467533,0.010941598673940622
FNO,50,20.21893230501658,4.814816703570003,47.47948189988459,0.5247826215275802,42.872876263715135,0.6388225934765315,12.1524201853759,971,1089,12904,0.6563803169307757,-0.017557723454244223
FNO,100,24.663229405210867,6.31103379625901,41.288365678453815,0.37044384137461267,52.0489948495597,0.6241648106904232,3.8332212508406185,1487,1430,12904,0.629735935706085,-0.005571125015661815
U-FNO,25,19.45251257303236,9.439368369178728,48.431474609909664,0.8595712543349192,34.940242909065745,0.6581508515815085,17.731629392971247,626,737,12904,0.6572164948453608,0.0009343567361477234
U-FNO,50,21.50493492304129,10.681141105762558,72.19182542725784,0.5247826215275802,40.033688861201185,0.6721044045676998,11.122554067971164,971,1079,12904,0.6731583403895004,-0.0010539358218005779
U-FNO,100,26.775602373152157,10.72460991116263,84.34647274489161,0.37044384137461267,48.11516996923673,0.6563876651982379,2.2864828513786146,1487,1521,12904,0.6545454545454545,0.0018422106527833382
