protocol,case,geometry,Re,model,nseed,velocity_mean,velocity_std,pressure_mean,pressure_std,reverse_iou_mean,reverse_area_bias_percent
diverse_geometry_v1,g009_Re100_medium,g009,100,Geo,3,9.710086504618326,0.47482696185253787,24.776346842447918,8.773434248182825,0.7940969823256165,0.9870974000776096
diverse_geometry_v1,g009_Re100_medium,g009,100,FNO,3,2.822162389755249,0.04245636890865605,10.737946510314941,0.3153863014678363,0.9094373853725476,0.3322662010089251
diverse_geometry_v1,g009_Re25_medium,g009,25,Geo,3,8.092867374420166,1.0288569251577397,28.191408157348633,12.751722133698653,0.6606842041937723,1.6322273961971285
diverse_geometry_v1,g009_Re25_medium,g009,25,FNO,3,1.8233340581258137,0.028570161724717057,11.1618865331014,0.985343402661016,0.9145023010962134,0.2886107877376795
diverse_geometry_v1,g009_Re50_medium,g009,50,Geo,3,7.4093607266743975,0.43131367804153087,23.534805297851562,10.809942881917518,0.7950553476195846,0.9337407838571984
diverse_geometry_v1,g009_Re50_medium,g009,50,FNO,3,2.188586473464966,0.0599393187612075,10.8923921585083,0.4298169277592326,0.9143973249796798,0.3880481179666279
diverse_geometry_v1,g023_Re100_medium,g023,100,Geo,3,3.028620719909668,0.5476031340781445,14.102887471516928,7.182608116075595,0.9380049896551048,0.5207631874298541
diverse_geometry_v1,g023_Re100_medium,g023,100,FNO,3,1.8479411602020264,0.07096970199550058,25.285245895385742,0.4699173314385605,0.9634334018708467,0.42873176206509545
diverse_geometry_v1,g023_Re25_medium,g023,25,Geo,3,2.899334192276001,0.1774083679219323,16.47203795115153,7.7656790651082614,0.9118487870241024,-0.04938271604938271
diverse_geometry_v1,g023_Re25_medium,g023,25,FNO,3,1.729019045829773,0.12587727485320094,24.389738082885742,1.0623695260927855,0.9553618341385546,-0.002244668911335577
diverse_geometry_v1,g023_Re50_medium,g023,50,Geo,3,2.577718416849772,0.24325469081292284,12.925419807434082,6.852654592614359,0.9521234710745617,0.3838383838383838
diverse_geometry_v1,g023_Re50_medium,g023,50,FNO,3,1.7032713890075684,0.13109407725746317,27.018456776936848,1.1929129727700762,0.9685180100145668,0.04264870931537598
diverse_geometry_v1,g036_Re100_medium,g036,100,Geo,3,2.368570248285929,0.5650518279316856,14.514348030090332,6.798074482006196,0.9676915320529947,-0.12591343451377177
diverse_geometry_v1,g036_Re100_medium,g036,100,FNO,3,2.0988676945368447,0.113778477326838,33.07926241556803,2.240263862448741,0.9734478629043762,-0.26756604834176506
diverse_geometry_v1,g036_Re25_medium,g036,25,Geo,3,2.962819496790568,0.3355349999819303,18.96283467610677,5.81945977810173,0.8584668156793865,0.06745362563237775
diverse_geometry_v1,g036_Re25_medium,g036,25,FNO,3,2.2513765494028726,0.21673326127110507,34.806097666422524,1.7362606489695758,0.8866767817600264,0.20460933108487914
diverse_geometry_v1,g036_Re50_medium,g036,50,Geo,3,2.411867380142212,0.2534881964393196,17.950652758280437,6.266640107519283,0.9555955089458182,0.06520517144463182
diverse_geometry_v1,g036_Re50_medium,g036,50,FNO,3,2.231607993443807,0.18219077965927494,41.650657653808594,1.122227339442344,0.9629694768188246,-0.19561551433389546
diverse_geometry_v1,g048_Re100_medium,g048,100,Geo,3,4.19445784886678,1.7304597131906214,23.781609217325848,3.648359108455571,0.8290127335594768,1.1528497409326424
diverse_geometry_v1,g048_Re100_medium,g048,100,FNO,3,4.234940528869629,0.055111103140686235,70.67161560058594,3.691086021801084,0.8651254863151122,0.4447322970639033
diverse_geometry_v1,g048_Re25_medium,g048,25,Geo,3,7.502918879191081,0.8281903890559926,38.18754514058431,9.537108538639933,0.22837789099804806,-0.9261658031088084
diverse_geometry_v1,g048_Re25_medium,g048,25,FNO,3,3.8543551762898765,0.11137542183216428,89.5191141764323,8.808841701582487,0.42733286264225795,-0.7491364421416234
diverse_geometry_v1,g048_Re50_medium,g048,50,Geo,3,4.581986268361409,0.46258703195282047,48.99614588419596,9.090850971339613,0.6321744286248298,-0.6455094991364421
diverse_geometry_v1,g048_Re50_medium,g048,50,FNO,3,3.6230926513671875,0.38555970685420393,142.27910868326822,9.32173965353584,0.7736926129090632,-0.4835924006908463
diverse_family_v1,g012_Re25_medium,g012,25,Geo,3,20.078921635945637,3.077909253062339,97.621337890625,81.84316758576304,0.24664307071139058,-2.321746300394914
diverse_family_v1,g012_Re25_medium,g012,25,FNO,3,14.108561833699545,1.0415481566878853,305.8948262532552,23.847316282879863,0.32990597512890507,-2.1568372173762094
diverse_family_v1,g012_Re50_medium,g012,50,Geo,3,21.552566528320312,1.6007537354616805,96.61725234985352,81.5342500244705,0.5078741325567292,-5.717571496766914
