model,split,wave_relative_l2,peak_mean_relative_error,cd_mean_relative_error,training_seconds,pod_retained_variance
ridge,validation,0.08661177714056886,0.050343455441275116,0.05394250436313277,0.0009174346923828125,0.9999833210342606
ridge,test,0.11268747869350786,0.06846095178751416,0.07994811760056585,0.0009174346923828125,0.9999833210342606
ridge,extrapolation,0.35410123085672707,0.030590686192072614,0.40426342662110226,0.0009174346923828125,0.9999833210342606
mlp,validation,0.03519657262728792,0.013753491683216783,0.015462546231033233,0.14081788063049316,0.9999833210342609
mlp,test,0.048297920792268655,0.02390255055101598,0.024241111061524975,0.14081788063049316,0.9999833210342609
mlp,extrapolation,0.32387217264024304,0.06463611812288174,0.21253889292169262,0.14081788063049316,0.9999833210342609
gp,validation,0.04454610823858344,0.019795017694513903,0.017193988057545777,0.05301499366760254,0.9999833210342608
gp,test,0.08796623353425716,0.02864385373518545,0.019914548921058456,0.05301499366760254,0.9999833210342608
gp,extrapolation,0.7028434048282418,0.26314259139693214,0.13742110405970706,0.05301499366760254,0.9999833210342608
