name,a,b,level,mach,height,end,volume,axisymmetric,nodes,cells,min_scaled_jacobian,returncode,wall_seconds,mesh.su2_sha256,flow.cfg_sha256,cd_pressure,peak_cp,peak_to_peak_cp,signature_l2,density_residual_log10,residual_drop,drag_tail_relative_range,iterations,min_pressure,converged
train_000,-0.308491627717272,0.06806670740477094,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9989401764360935,0,33.77352333068848,ceb138be05dc622c8d677f333f5d8ffdd99cc5f36e75711898ef63cc7446526f,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0013619810272394158,0.04098820991391283,0.06649093949487603,0.022672712065565277,-14.24726861,12.85858061,0.0,501,71913.30507955755,True
train_001,0.19692997962288689,0.19573988411487253,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.998810366940906,0,37.33432865142822,9ad74b38ef84f9a946537ac596aa38737e7182bd0e54a4bde3d325fa4a747d19,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0011735814351382166,0.029764497121866972,0.06271930517785416,0.019490413521202992,-14.31604613,12.936662058,0.0,501,62906.062731114114,True
train_002,-0.3978482557294264,0.09743401907637278,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9987331139362672,0,34.17778491973877,d44c3afa45f70ce8f11395e8378fd9fc076b3f7b4a2a465172e6f073ac70e57d,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0014670726876634533,0.04456800251431943,0.06845655268121506,0.022962670168194272,-14.24489638,12.864711166,0.0,501,76614.41014333475,True
train_003,0.44617796467734266,0.24163454280972946,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.998212804599303,0,37.63336205482483,4e2d7e18d21b1ae6bbe42283b06df71ca9dffe553ae036621a75e54d91120473,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0015604836069151914,0.023523095022635648,0.06466696731972421,0.02043576740831266,-14.32489816,12.973363539,0.0,501,57516.91298721643,True
train_004,0.03915732850999182,-0.13029201166907217,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9995319969550256,0,37.66485667228699,b6a629a0a15f038b7f40e7f3b74e104a3d029147a7ddb1826725eb67b941f264,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.001778030040199536,0.03669792992273223,0.07658618945368441,0.02731045455521293,-14.32407831,12.932986784,0.0,501,55436.67708871604,True
train_005,-0.009376597562835043,-0.2243264049654107,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9995010709160566,0,38.55828619003296,76e15b7df5e6486dcd74aad2fd4f621785bfe27565dc83fa770c3ed854546cbc,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.002245620595846234,0.04319567669250394,0.08930614886744495,0.030620408790088947,-14.31703673,12.938048705,0.0,501,53942.568686417864,True
train_006,-0.1252526196669803,-0.002762360602970998,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9993000826754932,0,34.59548044204712,d9019fe0420fced9c0b1cd7a6049b6bbc6614dbdb09d182f1efe1ca19c3bc51a,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0013559089737148903,0.035273937128330116,0.06618872433851465,0.023461505357926883,-14.33294865,12.935265837000001,0.0,501,63658.96941970504,True
train_007,0.2485894839594563,-0.059290021229562145,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9992688472987227,0,34.62198519706726,1481de1622fe277e0df3cb4f5a4eb4cf23d8d1431cbd5464ca6247a646489fa5,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0015245832020442935,0.03146956225561454,0.06748520917123368,0.024968766617803142,-14.33221524,12.939381943,0.0,501,53877.12778979239,True
train_008,-0.0710680933236637,0.0544596726552769,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.999263305944081,0,35.22535181045532,12dcb5c46d96e0bc11a3d1fa6e50a16eb8de9ad1072cbc5a31fb7f0f386ad437,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0012190655706150013,0.03460944832345738,0.06219337169945322,0.021929062841251977,-14.32204455,12.924250401999998,0.0,501,64500.15555202745,True
train_009,-0.0953738879247153,0.14590250543754563,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9990689756019439,0,36.51785349845886,0b9b8d74b06bc61f92776851ed8fe2101ff4cdf388242fed98150159828b341a,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0011554894777379677,0.03709001424298641,0.0615202926600304,0.020467370301493502,-14.32720107,12.937079043999999,0.0,501,69199.10567862284,True
