Re,fidelity,expected_regime,observed_regime,regime_pass,tau,Mach,blockage,steps,observed_time_D_over_U,density_drift,Cd_mean,Cl_rms,St,St_valid,St_reason,St_cycles,lift_relative_rms_change,Lr_over_D,elapsed_seconds,stability_pass,reference_Cd_pass,reference_Lr_pass,reference_St_pass
5,quick,attached,attached,True,0.8600000000000001,0.08660254037844388,0.125,9600,40.0,0.0012522491966557858,5.450936595113127,5.4307963220617966e-05,,False,dominant_energy_outside_physical_band,2.497916666666667,1.7029681836261772,,88.71541554900614,True,,,
20,quick,steady recirculating,steady recirculating,True,0.5900000000000001,0.08660254037844388,0.125,9600,40.0,0.0007828362091437668,2.5434401553682506,0.002336498183573434,,False,dominant_energy_outside_physical_band,2.497916666666667,0.7879531891482682,0.9098926627997154,89.12069609899481,True,False,True,
40,quick,steady recirculating,steady recirculating,True,0.545,0.08660254037844388,0.125,9600,40.0,0.0006567863526734108,1.8894266221483023,0.005362504949451709,,False,dominant_energy_outside_physical_band,2.7837294407267565,0.4885553333915061,2.142962164435653,89.27060021799844,True,False,False,
100,quick,periodic shedding,periodic shedding,True,0.518,0.08660254037844388,0.125,24000,100.0,0.0006258862934035436,1.5722003074451367,0.24706783110196912,0.18150423086797696,True,accepted,9.979707627224267,0.11560536254144539,1.4222236350644692,214.19450154600054,True,False,True,False
180,quick,periodic shedding,periodic shedding,True,0.5125,0.08660254037844388,0.125,30000,100.0,0.0020867101480647188,1.3947723887322805,0.3477108489551654,0.20846713340007963,True,accepted,11.462217884781046,0.0066861710613117815,1.055409323523376,386.51663577800355,True,False,False,False
