train_family,test_family,model,seed,case,Re,parameters,epoch,training_seconds,inference_seconds,checkpoint_sha256,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,coordinate_mlp,7,constant_test_0000,378.39963682209583,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.24521722262448442,0.465373892241371,0.8640694403142206,7.850375283169342e-08,0.5973713196018234,0.04166666666666663
constant,constant,coordinate_mlp,7,constant_test_0001,275.5175743523432,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.23838795881773975,0.45027323863403435,0.8387388933897527,7.992672834689074e-08,0.5898964347061368,0.05892556509887899
constant,constant,coordinate_mlp,7,constant_test_0002,205.77449124508615,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.24321664598501708,0.45009426899516336,0.8225753478792532,8.105777027367367e-08,0.5858294443385976,0.05892556509887899
constant,constant,coordinate_mlp,7,constant_test_0003,356.31307787809095,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.24219692006577626,0.46089678063848677,0.8586392057182208,8.879649726623029e-08,0.5956231158871275,0.04166666666666663
constant,constant,coordinate_mlp,7,constant_test_0004,364.9641357923895,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.24326682169438552,0.46257563324230605,0.8607725515571713,7.599456353091227e-08,0.5962987411724012,0.04166666666666663
constant,constant,coordinate_mlp,7,constant_test_0005,326.11288015095056,2833.0,104.0,1.2750225049967412,0.00020666683364349106,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.2395216429943275,0.4558144013724536,0.8511608059087976,8.55421831147396e-08,0.5933581326708035,0.05892556509887899
constant,diverse,coordinate_mlp,7,diverse_test_0000,378.39963682209583,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.2827129770123715,0.47147430984844013,0.8184001057188617,8.071189228076037e-08,0.3890005227792216,0.04166666666666674
constant,diverse,coordinate_mlp,7,diverse_test_0001,275.5175743523432,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.24032601277217092,0.44808675746731796,0.827364260128363,6.399576335525126e-08,0.49549071453547916,0.04166666666666674
constant,diverse,coordinate_mlp,7,diverse_test_0002,205.77449124508615,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3238682380189154,0.4913015934052093,0.8040401430010744,9.028487824025433e-08,0.4098845866397638,0.05892556509887899
constant,diverse,coordinate_mlp,7,diverse_test_0003,356.31307787809095,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3160051309606451,0.5183159685975415,0.8682164866869487,7.089180087405111e-08,0.4669461679945925,0.05892556509887899
constant,diverse,coordinate_mlp,7,diverse_test_0004,364.9641357923895,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.5964356911054142,0.7087005876328136,0.8960664663586122,8.67500347112582e-08,0.4511248619333757,0.04166666666666674
constant,diverse,coordinate_mlp,7,diverse_test_0005,326.11288015095056,2833.0,104.0,1.2750225049967412,0.00030589600040305714,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.4188800705107038,0.5639366142146724,0.8562575776848707,7.109171917818458e-08,0.456807715401997,0.05892556509887899
constant,ood_shape,coordinate_mlp,7,ood_shape_0000,322.0476102060863,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3465306197831692,0.5124812921698041,0.8240789849505954,8.42852969640262e-08,0.3902259478932221,0.04166666666666674
constant,ood_shape,coordinate_mlp,7,ood_shape_0001,236.44026808360903,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,1.241950115325175,1.0846403955199044,0.9320246580772558,8.731756651059186e-08,0.3573967376290214,0.24295632895188754
constant,ood_shape,coordinate_mlp,7,ood_shape_0002,180.95100059158364,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.5154991115177735,0.6027766721670461,0.8005469984442668,8.340290236219516e-08,0.2573741515285322,0.0931694990624913
constant,ood_shape,coordinate_mlp,7,ood_shape_0003,208.6074759394159,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.7969271005093502,0.7953340502212839,0.8665574909586942,7.527482637215144e-08,0.3492941028956795,0.18633899812498245
constant,ood_shape,coordinate_mlp,7,ood_shape_0004,374.64532673286527,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.8337988023912782,0.8839455862130515,0.9148109906831219,7.598586648782657e-08,0.34608291386067114,0.04166666666666674
constant,ood_shape,coordinate_mlp,7,ood_shape_0005,145.49153445980784,2833.0,104.0,1.2750225049967412,0.00028507133295837167,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.2484897395613968,0.4323471996290045,0.7690752712210056,7.972055016125523e-08,0.38277240441478594,0.058925565098879064
constant,ood_re,coordinate_mlp,7,ood_re_0000,566.4474875225259,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.368355023194264,0.5405702181617841,0.8842928000537317,7.891600972698143e-08,0.5458267721806251,0.0
constant,ood_re,coordinate_mlp,7,ood_re_0001,490.14181715065223,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.2782142198869443,0.49062627207932447,0.8721999294846507,8.070292523143507e-08,0.5475505735378035,0.04166666666666663
constant,ood_re,coordinate_mlp,7,ood_re_0002,533.202596381457,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3597895331174269,0.5435050205579416,0.8879297282496833,7.616518615805035e-08,0.49889313722934203,0.04166666666666663
constant,ood_re,coordinate_mlp,7,ood_re_0003,592.5167238454294,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.8105907543663472,0.8288584768235718,0.9210664006051863,8.729264777684875e-08,0.3649998060401284,0.05892556509887899
constant,ood_re,coordinate_mlp,7,ood_re_0004,489.1490754145391,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3651244361085613,0.5413045177214509,0.8605763270796138,6.948646102955536e-08,0.38323264634328585,0.04166666666666663
constant,ood_re,coordinate_mlp,7,ood_re_0005,561.89866888648,2833.0,104.0,1.2750225049967412,0.0002944786659403083,32d8014532f40cd2db355a9d61fbbca2b32de5db59034b07ba139d893bf264a4,0.3060688280981747,0.5088273683648363,0.8658092527995948,7.945251212504445e-08,0.48678918257331316,0.04166666666666663
constant,constant,pod_deeponet,7,constant_test_0000,378.39963682209583,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.03710523874309317,0.05142052571971218,0.061635388042966664,7.138196167488786e-08,0.32105393204724014,0.0
constant,constant,pod_deeponet,7,constant_test_0001,275.5175743523432,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.00982602449709638,0.014597415945395532,0.01780352478338724,7.770009347041196e-08,0.2586701333555011,0.0
constant,constant,pod_deeponet,7,constant_test_0002,205.77449124508615,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.010875878286251275,0.016567947620866347,0.022854057893062767,9.136700640510753e-08,0.21717239432969618,0.0
constant,constant,pod_deeponet,7,constant_test_0003,356.31307787809095,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.023185352612522952,0.03247519019117004,0.041116935612571855,7.925603284775207e-08,0.30780554121174525,0.04166666666666674
constant,constant,pod_deeponet,7,constant_test_0004,364.9641357923895,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.02837542003724118,0.03957607370610925,0.04891041307914932,6.916174299931299e-08,0.31301263371683524,0.0
constant,constant,pod_deeponet,7,constant_test_0005,326.11288015095056,3080.0,58.0,0.23378282300109277,3.492399991955608e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.007887133399065781,0.011345222339362098,0.017340974545481273,7.670390544944894e-08,0.2894946438349737,0.0
constant,diverse,pod_deeponet,7,diverse_test_0000,378.39963682209583,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.13205288342445187,0.17461350944822446,0.458665470857316,7.588323569507338e-08,0.20747819887755117,0.04166666666666674
constant,diverse,pod_deeponet,7,diverse_test_0001,275.5175743523432,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.10931490840620695,0.12196352984148554,0.176731217314268,7.542058710896526e-08,0.23663255570336136,0.04166666666666663
constant,diverse,pod_deeponet,7,diverse_test_0002,205.77449124508615,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.12759356057450194,0.12836760814243156,0.23202404851389793,9.220122620945403e-08,0.07630069614079214,0.0
constant,diverse,pod_deeponet,7,diverse_test_0003,356.31307787809095,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.1861687738634202,0.1728178600446766,0.1857602223946773,7.584480243849612e-08,0.16086251349098635,0.0
constant,diverse,pod_deeponet,7,diverse_test_0004,364.9641357923895,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.558470462439636,0.5290907946202315,0.45141962430983745,8.062428236144115e-08,0.316766623237736,0.04166666666666663
constant,diverse,pod_deeponet,7,diverse_test_0005,326.11288015095056,3080.0,58.0,0.23378282300109277,1.6039167045770835e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.25924037705230907,0.24784108481039524,0.24615044077727471,8.156462172337342e-08,0.22913257615009458,0.04166666666666663
constant,ood_shape,pod_deeponet,7,ood_shape_0000,322.0476102060863,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.2647986541081633,0.2756384091523139,0.4124711379821051,7.76640050048627e-08,0.22298932357619916,0.0
constant,ood_shape,pod_deeponet,7,ood_shape_0001,236.44026808360903,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.9424160157533779,0.7811052221964173,0.7488544686618822,8.75568701985685e-08,0.36112009691814956,0.15023130314433292
constant,ood_shape,pod_deeponet,7,ood_shape_0002,180.95100059158364,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.41723136202631195,0.4371532785311797,0.649856747692252,8.282631114298056e-08,0.2577197134855117,0.04166666666666674
constant,ood_shape,pod_deeponet,7,ood_shape_0003,208.6074759394159,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.559362370618034,0.4988143354452147,0.49156769370478953,8.515845451029236e-08,0.2606672235530487,0.0931694990624912
constant,ood_shape,pod_deeponet,7,ood_shape_0004,374.64532673286527,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.7990648756010704,0.7642635895567952,0.6904170413950422,8.221721259360493e-08,0.3001524329466425,0.04166666666666663
constant,ood_shape,pod_deeponet,7,ood_shape_0005,145.49153445980784,3080.0,58.0,0.23378282300109277,1.5999000121761735e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.19875036193230036,0.27870293240666044,0.6222399595103906,7.04921632177502e-08,0.283068011938561,0.05892556509887899
constant,ood_re,pod_deeponet,7,ood_re_0000,566.4474875225259,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.19301231844719294,0.2560792897925749,0.3362855342787453,8.14981433450157e-08,0.3692324034735207,0.08333333333333337
constant,ood_re,pod_deeponet,7,ood_re_0001,490.14181715065223,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.12696969844738148,0.1773943057311247,0.25230374380858045,8.303777576657012e-08,0.3515945377831811,0.04166666666666663
constant,ood_re,pod_deeponet,7,ood_re_0002,533.202596381457,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.21949863993244367,0.26427559857884847,0.31387808189949334,8.055837241727204e-08,0.285731675123352,0.04166666666666663
constant,ood_re,pod_deeponet,7,ood_re_0003,592.5167238454294,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.5829720384946783,0.5868533515332534,0.6296774552205534,8.745055168901672e-08,0.14971899076804232,0.1317615691736825
constant,ood_re,pod_deeponet,7,ood_re_0004,489.1490754145391,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.21566540240405196,0.25434616430703705,0.4802510172153239,8.264000683766426e-08,0.18248149447066211,0.04166666666666663
constant,ood_re,pod_deeponet,7,ood_re_0005,561.89866888648,3080.0,58.0,0.23378282300109277,2.119350028806366e-05,210f894f1029b76e542029b0f4d526f982266b02b3bf713cf48203818cd52cd4,0.1890675419711763,0.27934164505317133,0.5015235876237677,9.026636149656042e-08,0.3591290758674376,0.08333333333333337
constant,constant,unet,7,constant_test_0000,378.39963682209583,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.10596571897949145,0.23117118304224524,0.7153054917846248,7.434703519493269e-08,0.5149771591707355,0.05892556509887899
constant,constant,unet,7,constant_test_0001,275.5175743523432,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.07065826946191642,0.18821481398087384,0.640146577589188,6.93789488082075e-08,0.4775596949895944,0.04166666666666663
constant,constant,unet,7,constant_test_0002,205.77449124508615,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.0703935443689405,0.18030960769470003,0.5929285905126674,6.934299534577804e-08,0.4565182647256904,0.0
constant,constant,unet,7,constant_test_0003,356.31307787809095,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.09530930828952039,0.21883427956021123,0.6993260022279776,7.857241968167727e-08,0.5063377110592904,0.05892556509887899
constant,constant,unet,7,constant_test_0004,364.9641357923895,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.09931530338479587,0.22346862170587403,0.705613291130376,6.774320837621417e-08,0.5096841311986188,0.05892556509887899
constant,constant,unet,7,constant_test_0005,326.11288015095056,14797.0,120.0,2.259406512006535,0.00024433183352812193,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.08321974752582895,0.2047021104811127,0.6771868343672904,6.87831516188453e-08,0.4950474581454053,0.04166666666666663
constant,diverse,unet,7,diverse_test_0000,378.39963682209583,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.14912573479670171,0.2295550780836733,0.5826287490234999,7.522428546735682e-08,0.3335305562129194,0.058925565098878904
constant,diverse,unet,7,diverse_test_0001,275.5175743523432,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.15787231761879433,0.23723608584662942,0.6367056133059642,7.230322296436498e-08,0.42428592809528703,0.0
constant,diverse,unet,7,diverse_test_0002,205.77449124508615,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.1586898729039511,0.21042221551470963,0.5088432920977526,8.99760905781477e-08,0.2605292837779176,0.0
constant,diverse,unet,7,diverse_test_0003,356.31307787809095,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.19946033082389822,0.2805717843246927,0.7121287616380209,7.826589865089773e-08,0.33105727302831306,0.04166666666666663
constant,diverse,unet,7,diverse_test_0004,364.9641357923895,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.6111391823758631,0.6315511474679988,0.8259504109626825,6.949246511567253e-08,0.4461780359013071,0.0
constant,diverse,unet,7,diverse_test_0005,326.11288015095056,14797.0,120.0,2.259406512006535,0.00029606450092008646,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.29080494884062075,0.3531601383380391,0.6949685209425057,7.17892376655982e-08,0.40250124311053953,0.0
constant,ood_shape,unet,7,ood_shape_0000,322.0476102060863,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.3014172917754243,0.356796354532425,0.6322550387940001,8.695828057625477e-08,0.37241010118407575,0.04166666666666663
constant,ood_shape,unet,7,ood_shape_0001,236.44026808360903,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,1.0337366698844082,0.8902002050985416,0.8060467675939234,8.49293257942918e-08,0.3049584310140125,0.15023130314433292
constant,ood_shape,unet,7,ood_shape_0002,180.95100059158364,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.5081731073261904,0.5273148071717564,0.6293712508793055,8.073831025967593e-08,0.27488716039623173,0.04166666666666663
constant,ood_shape,unet,7,ood_shape_0003,208.6074759394159,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.6311097781033188,0.6102439252626731,0.6895367954014264,8.777386995006964e-08,0.2951269531909643,0.0931694990624912
constant,ood_shape,unet,7,ood_shape_0004,374.64532673286527,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.8692936715579073,0.8548031639817654,0.8815304765525436,8.604573054071807e-08,0.39265557117260896,0.0
constant,ood_shape,unet,7,ood_shape_0005,145.49153445980784,14797.0,120.0,2.259406512006535,0.0002345621663456162,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.270465304022469,0.34585127479169064,0.5813842781014008,9.329772865385166e-08,0.3572737874901245,0.04166666666666663
constant,ood_re,unet,7,ood_re_0000,566.4474875225259,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.21319233819210517,0.3563709644858713,0.7770832577082243,6.327921653337398e-08,0.5456246894127001,0.09316949906249125
constant,ood_re,unet,7,ood_re_0001,490.14181715065223,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.16297048705407183,0.29275846314008863,0.7460313176461493,6.51653806471586e-08,0.5162621928420226,0.09316949906249125
constant,ood_re,unet,7,ood_re_0002,533.202596381457,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.19044942282074645,0.3345234720262485,0.7786939155343935,6.393975837681865e-08,0.45717523022872836,0.09316949906249125
constant,ood_re,unet,7,ood_re_0003,592.5167238454294,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.36920774298085957,0.4577449928978112,0.8145894206354588,6.036157174094114e-08,0.29780974300979435,0.04166666666666663
constant,ood_re,unet,7,ood_re_0004,489.1490754145391,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.17991639884330274,0.29325791673922214,0.690087941493859,5.659882162944996e-08,0.31585922124526866,0.09316949906249125
constant,ood_re,unet,7,ood_re_0005,561.89866888648,14797.0,120.0,2.259406512006535,0.00025272783265487914,0d5671ff126136c19488ec700e33503b70e78bbb2fe524927bdad7657ba4cb96,0.20067114651439874,0.3334849618211121,0.7370946375367152,6.534229157750815e-08,0.494463898347671,0.09316949906249125
constant,constant,fno,7,constant_test_0000,378.39963682209583,12705.0,120.0,3.664961956994375,0.0007585269995615818,43285ccffde17453bb6116a3a715d3a20245ebcf8ab98fe49b9fed39021bde52,0.10400074037477078,0.20109752786379384,0.6616882874386218,8.682192031983504e-08,0.4178641743807238,0.05892556509887899
constant,constant,fno,7,constant_test_0001,275.5175743523432,12705.0,120.0,3.664961956994375,0.0007585269995615818,43285ccffde17453bb6116a3a715d3a20245ebcf8ab98fe49b9fed39021bde52,0.04832990281946154,0.1425933022488626,0.5876435112809267,7.483563280175076e-08,0.4042016460355099,0.04166666666666663
constant,constant,fno,7,constant_test_0002,205.77449124508615,12705.0,120.0,3.664961956994375,0.0007585269995615818,43285ccffde17453bb6116a3a715d3a20245ebcf8ab98fe49b9fed39021bde52,0.042484628875854545,0.12234242954018042,0.5450147697192783,9.689900082321401e-08,0.39530196405746737,0.0
