train_family,test_family,model,velocity_mean,velocity_std,psi_mean
constant,constant,coordinate_mlp,0.45750470252063585,0.006468545310233505,0.24196786869695508
constant,constant,fno,0.16932852861499245,0.031020042843573303,0.07466075117194969
constant,constant,fno_physics,0.1579885763050708,0.04275457854259604,0.08019610252273264
constant,constant,nearest,0.010446987755962743,0.00831786259263118,0.008775467926968901
constant,constant,pod_deeponet,0.02766372925376924,0.016059751345900545,0.019542507929211788
constant,constant,rbf,0.0012035397333036337,0.0011910234780227087,0.0008407314258487195
constant,constant,unet,0.20778343607750283,0.020309454360774665,0.08747698200174893
constant,diverse,coordinate_mlp,0.5336359718609992,0.09463127498786887,0.3630380200633701
constant,diverse,fno,0.2993996681343312,0.13786315448745068,0.25765244935909215
constant,diverse,fno_physics,0.32817983236020287,0.1729525828138869,0.28402581839811397
constant,diverse,nearest,0.21049022663064887,0.13706009071060699,0.21054144259651206
constant,diverse,pod_deeponet,0.22911573115124081,0.15369280957149942,0.22880682762675433
constant,diverse,rbf,0.2114589702351095,0.13947223788866514,0.21222453892422058
constant,diverse,unet,0.32374940826262383,0.15916745164749346,0.26118206455997156
constant,ood_re,coordinate_mlp,0.5756153122848182,0.12589863134614207,0.4146904657952864
constant,ood_re,fno,0.41466410633129125,0.1441040540303177,0.3713964212290252
constant,ood_re,fno_physics,0.45309744233035,0.18689880993145352,0.40413174473122554
constant,ood_re,nearest,0.25403453090270006,0.1447130604372547,0.26639527815367325
constant,ood_re,pod_deeponet,0.30304839249933496,0.14351135659357872,0.25453093994948744
constant,ood_re,rbf,0.20016749303571335,0.12607477351540605,0.1564293479952448
constant,ood_re,unet,0.3446901285183923,0.060809425636413554,0.21940125606758076
constant,ood_shape,coordinate_mlp,0.7185875326533492,0.2470034324746871,0.6638659148480238
constant,ood_shape,fno,0.521837288951099,0.2456038269731442,0.5255047347449397
constant,ood_shape,fno_physics,0.5716312884576319,0.3067207887680228,0.5651311785665368
constant,ood_shape,nearest,0.49201203074203953,0.2049659804222414,0.519287775335415
constant,ood_shape,pod_deeponet,0.5059462945480969,0.2244570658149815,0.5302706066732096
constant,ood_shape,rbf,0.489944558319009,0.21001668256800163,0.5170869038142648
constant,ood_shape,unet,0.5975349551398087,0.2358948985003153,0.602365970444953
diverse,constant,coordinate_mlp,0.48733236119839796,0.006494763678640692,0.29882285059791963
diverse,constant,fno,0.1959487620315458,0.007365812055302659,0.1160019122778951
diverse,constant,fno_physics,0.1832592611350304,0.009164535583006153,0.1198832253665913
diverse,constant,nearest,0.09766527107607519,0.009652738545491781,0.08918546513663306
diverse,constant,pod_deeponet,0.11672343839177494,0.0202228879479541,0.11175417393945952
diverse,constant,rbf,0.09389993100944428,0.0160944097772067,0.09138180115989177
diverse,constant,unet,0.2648976154959121,0.01675157712901047,0.14506545306457092
diverse,diverse,coordinate_mlp,0.4805126128433199,0.025994560832630794,0.27795499490354164
diverse,diverse,fno,0.20375138022104902,0.08087583752533047,0.12047780028763694
diverse,diverse,fno_physics,0.19922294739865895,0.09959105828859083,0.13494819570669855
diverse,diverse,nearest,0.11066691474761109,0.13254179588261356,0.10745740687272476
diverse,diverse,pod_deeponet,0.12028447393433311,0.0776614161923815,0.11339480705906903
diverse,diverse,rbf,0.06458968004770561,0.04034873731977781,0.06251404720185193
diverse,diverse,unet,0.2616454927303064,0.04715848155144867,0.13163245210625965
diverse,ood_re,coordinate_mlp,0.48856598036841037,0.030933658540288095,0.2796982258845873
diverse,ood_re,fno,0.3048822600101434,0.0834761343515897,0.2161819887609955
diverse,ood_re,fno_physics,0.31956937803981494,0.10712783276082244,0.23475954874243085
diverse,ood_re,nearest,0.17155496624876898,0.12952656081639152,0.17131952380337237
diverse,ood_re,pod_deeponet,0.21508510224592423,0.11417596111506109,0.19159013649153842
diverse,ood_re,rbf,0.17246964612515928,0.07624484533354602,0.11344003575115354
diverse,ood_re,unet,0.35526184946602,0.05205521363061802,0.22034721157288598
diverse,ood_shape,coordinate_mlp,0.5404751068910566,0.08312905304951837,0.37565463855595643
diverse,ood_shape,fno,0.34017468778973853,0.15040962265147015,0.3119263580366251
diverse,ood_shape,fno_physics,0.35487172746671786,0.18692543849959764,0.3346596936356876
diverse,ood_shape,nearest,0.318976690141968,0.16436891775300397,0.3226727399606724
diverse,ood_shape,pod_deeponet,0.3190350151310953,0.1238001751934083,0.3262826061273925
diverse,ood_shape,rbf,0.21142304534897507,0.12190132520909314,0.2002891943815921
diverse,ood_shape,unet,0.2677930022268174,0.08135474500302581,0.15176959221956102
