family,seed,model,epoch,train,validation
constant,7,coordinate_mlp,1,0.24075694382190704,0.16173648834228516
constant,7,coordinate_mlp,2,0.1753411591053009,0.1114962100982666
constant,7,coordinate_mlp,3,0.12451830506324768,0.0769137516617775
constant,7,coordinate_mlp,4,0.08809606730937958,0.05831611156463623
constant,7,coordinate_mlp,5,0.06644589453935623,0.055088870227336884
constant,7,coordinate_mlp,6,0.05920199304819107,0.06383208930492401
constant,7,coordinate_mlp,7,0.06358015537261963,0.07713670283555984
constant,7,coordinate_mlp,8,0.0731504037976265,0.08695435523986816
constant,7,coordinate_mlp,9,0.08064240962266922,0.08947143703699112
constant,7,coordinate_mlp,10,0.08240353316068649,0.08521376550197601
constant,7,coordinate_mlp,11,0.07869401574134827,0.07674725353717804
constant,7,coordinate_mlp,12,0.07167091220617294,0.06689178943634033
constant,7,coordinate_mlp,13,0.0637568011879921,0.057841066271066666
constant,7,coordinate_mlp,14,0.05682002380490303,0.050871822983026505
constant,7,coordinate_mlp,15,0.051899563521146774,0.04638415947556496
constant,7,coordinate_mlp,16,0.04924093931913376,0.0441167987883091
constant,7,coordinate_mlp,17,0.0484980009496212,0.043428316712379456
constant,7,coordinate_mlp,18,0.04899689555168152,0.043560948222875595
constant,7,coordinate_mlp,19,0.04998233541846275,0.04383569210767746
constant,7,coordinate_mlp,20,0.05079741030931473,0.04376467317342758
constant,7,coordinate_mlp,21,0.050984401255846024,0.04309215396642685
constant,7,coordinate_mlp,22,0.05031830444931984,0.04178501293063164
constant,7,coordinate_mlp,23,0.04879379644989967,0.03999209403991699
constant,7,coordinate_mlp,24,0.04658418893814087,0.037985898554325104
constant,7,coordinate_mlp,25,0.043985214084386826,0.03609389066696167
constant,7,coordinate_mlp,26,0.04135013371706009,0.0346226841211319
constant,7,coordinate_mlp,27,0.039018914103507996,0.03378055617213249
constant,7,coordinate_mlp,28,0.03724558651447296,0.03360976651310921
constant,7,coordinate_mlp,29,0.036133989691734314,0.03395096957683563
constant,7,coordinate_mlp,30,0.035601094365119934,0.03446713089942932
constant,7,coordinate_mlp,31,0.03539283201098442,0.034740857779979706
constant,7,coordinate_mlp,32,0.0351656898856163,0.03441886231303215
constant,7,coordinate_mlp,33,0.03461303561925888,0.03333878889679909
constant,7,coordinate_mlp,34,0.03357949107885361,0.03157773241400719
constant,7,coordinate_mlp,35,0.03210825100541115,0.029407521709799767
constant,7,coordinate_mlp,36,0.030405350029468536,0.027186548337340355
constant,7,coordinate_mlp,37,0.028746113181114197,0.02523643895983696
constant,7,coordinate_mlp,38,0.027367306873202324,0.023746591061353683
constant,7,coordinate_mlp,39,0.02638465166091919,0.02273319661617279
constant,7,coordinate_mlp,40,0.025760672986507416,0.022062014788389206
constant,7,coordinate_mlp,41,0.025331510230898857,0.021525375545024872
constant,7,coordinate_mlp,42,0.024882955476641655,0.020942993462085724
constant,7,coordinate_mlp,43,0.02424609661102295,0.020242445170879364
constant,7,coordinate_mlp,44,0.023370787501335144,0.01948239654302597
constant,7,coordinate_mlp,45,0.0223432295024395,0.018809102475643158
constant,7,coordinate_mlp,46,0.02134041301906109,0.018366772681474686
constant,7,coordinate_mlp,47,0.020541496574878693,0.018204186111688614
constant,7,coordinate_mlp,48,0.020035427063703537,0.01822938770055771
constant,7,coordinate_mlp,49,0.019772585481405258,0.018250688910484314
constant,7,coordinate_mlp,50,0.01959623210132122,0.01809144765138626
constant,7,coordinate_mlp,51,0.019344471395015717,0.017703797668218613
constant,7,coordinate_mlp,52,0.018956150859594345,0.017198141664266586
constant,7,coordinate_mlp,53,0.01850397326052189,0.01676781475543976
constant,7,coordinate_mlp,54,0.018133461475372314,0.01656261831521988
constant,7,coordinate_mlp,55,0.017954479902982712,0.016596440225839615
constant,7,coordinate_mlp,56,0.017962303012609482,0.01675223745405674
constant,7,coordinate_mlp,57,0.018045060336589813,0.016880426555871964
constant,7,coordinate_mlp,58,0.01807282865047455,0.016911158338189125
constant,7,coordinate_mlp,59,0.0179959237575531,0.01688954420387745
constant,7,coordinate_mlp,60,0.017871253192424774,0.01691358909010887
constant,7,coordinate_mlp,61,0.017800774425268173,0.017035897821187973
constant,7,coordinate_mlp,62,0.01783907413482666,0.017214477062225342
constant,7,coordinate_mlp,63,0.01794830895960331,0.017353076487779617
constant,7,coordinate_mlp,64,0.01803695783019066,0.017389528453350067
constant,7,coordinate_mlp,65,0.018043331801891327,0.017345715314149857
constant,7,coordinate_mlp,66,0.017983678728342056,0.017296183854341507
constant,7,coordinate_mlp,67,0.01792454905807972,0.017294131219387054
constant,7,coordinate_mlp,68,0.01791476458311081,0.017327681183815002
constant,7,coordinate_mlp,69,0.01794407330453396,0.017342329025268555
constant,7,coordinate_mlp,70,0.01796221174299717,0.017299657687544823
