# Extracted training columns from Unity training/data/loss.dat, 2026-09-16 UTC.
# step momentum_x_MSE momentum_y_MSE; duplicate rows removed; float64 values.
0 5.349944647981123e-10 6.250651641893688e-10
1000 2.977145807835831e-10 3.24893992590317e-10
2000 2.958502799008029e-10 3.2398905080341333e-10
3000 2.9263092094755547e-10 3.203179862114897e-10
4000 2.8877302428515016e-10 3.159745884742138e-10
5000 2.838876914962788e-10 3.1133940755824714e-10
6000 2.797904556846586e-10 3.056826987734428e-10
7000 2.741491551072546e-10 3.0151647571499215e-10
8000 2.695464917836285e-10 2.9557170617524895e-10
9000 2.636851106902828e-10 2.90790288226355e-10
10000 2.5847658445992805e-10 2.8562083455309364e-10
11000 2.5330987555221537e-10 2.8006228977434516e-10
12000 2.50990575116921e-10 2.7225436264712184e-10
13000 2.451051870007577e-10 2.6858879943024263e-10
14000 2.4056005564577094e-10 2.641887671847777e-10
15000 2.3585507242751315e-10 2.6002316520484397e-10
16000 2.312873074728751e-10 2.5602971247398145e-10
17000 2.271943239683061e-10 2.518706911013328e-10
18000 2.226000590214491e-10 2.4852511150457397e-10
19000 2.1791416117927505e-10 2.45352740673998e-10
20000 2.148326928552988e-10 2.4058611736008454e-10
21000 2.1106720940165066e-10 2.3722033016199097e-10
22000 2.0675245000229606e-10 2.346453751827397e-10
23000 2.0403295545995344e-10 2.3143994513334448e-10
23856 2.0155828377100378e-10 2.295213358023394e-10
24000 2.0155730381266804e-10 2.2952035103908131e-10
25000 2.0150206905199533e-10 2.2939234435060943e-10
26000 2.0109323934898573e-10 2.2832093010713235e-10
27000 1.999901008484303e-10 2.263276643535332e-10
28000 1.9780273736210429e-10 2.247461353768705e-10
29000 1.9593639004812642e-10 2.222045872816034e-10
30000 1.9327666774038028e-10 2.1991168326924761e-10
31000 1.9125053837953435e-10 2.169584840458269e-10
32000 1.896397984905222e-10 2.1346231990234448e-10
33000 1.86020168181417e-10 2.1184247886574037e-10
34000 1.8318531659982545e-10 2.0920103006826491e-10
35000 1.8070813778249357e-10 2.0617843416150236e-10
36000 1.7873447169796822e-10 2.0295836705706038e-10
37000 1.773370344136236e-10 1.9940111059965826e-10
38000 1.7494791830221245e-10 1.9683395698474897e-10
39000 1.7251828065715987e-10 1.9415100530420653e-10
40000 1.700668617003952e-10 1.9176222727203338e-10
41000 1.6827401051919866e-10 1.8936264548724924e-10
42000 1.6634422588349144e-10 1.872425031376208e-10
42037 1.6632002154392068e-10 1.8723534971368372e-10
43000 1.6629366936964946e-10 1.8720592853450224e-10
44000 1.66045823740592e-10 1.867378294860189e-10
45000 1.656750034930987e-10 1.8544237487933533e-10
46000 1.646066928043707e-10 1.8440984400325927e-10
47000 1.6322494477701396e-10 1.8332120231234045e-10
48000 1.613292468684662e-10 1.8244393090540103e-10
49000 1.5989546806992375e-10 1.8115160355552283e-10
50000 1.5857475974582478e-10 1.797699983825898e-10
50005 1.5857487690443654e-10 1.7976964417999392e-10
51000 1.5856028482472355e-10 1.797476218403688e-10
52000 1.5835546638940912e-10 1.7961596633443213e-10
53000 1.5788627594098343e-10 1.7902560711815839e-10
54000 1.5729374156542744e-10 1.7826725937425016e-10
54215 1.572709490171466e-10 1.7804730838718057e-10
55000 1.5727098379242848e-10 1.780327252093739e-10
56000 1.571460456219456e-10 1.780250253227767e-10
57000 1.568873010173508e-10 1.7786883825749395e-10
57480 1.5686288264526125e-10 1.7755224330930434e-10
58000 1.56862125211066e-10 1.775485072234723e-10
59000 1.568298822747513e-10 1.7754544856047766e-10
60000 1.5670920373978382e-10 1.7748108322026602e-10
60735 1.567072976385778e-10 1.7722979856409144e-10
61000 1.567070207908323e-10 1.7722938091811255e-10
62000 1.5671339623822273e-10 1.7720725641024883e-10
63000 1.5650546420900078e-10 1.772681862245456e-10
63325 1.56430529103837e-10 1.7726678795061492e-10
64000 1.5642792573879965e-10 1.7726785656785804e-10
65000 1.5644724551407387e-10 1.7721544842166056e-10
65711 1.5650513950764713e-10 1.770657654018576e-10
