-2.24400E+01	-1.32720E-03	-1.06150E-03	-1.03670E-02	-4.28590E-03	-1.40150E-02
-2.22900E+01	-5.33440E-04	-1.66570E-03	-1.00480E-02	-3.55830E-03	-1.39420E-02
-2.21400E+01	-6.02000E-04	-9.97160E-04	-9.77230E-03	-4.24180E-03	-1.30910E-02
-2.19900E+01	-1.41310E-04	-7.78070E-04	-9.63830E-03	-2.73500E-03	-1.37810E-02
-2.18390E+01	2.11400E-04	-2.51710E-04	-9.30440E-03	-2.01850E-03	-1.36760E-02
-2.16890E+01	-3.09410E-04	-6.20420E-04	-9.39680E-03	-2.24830E-03	-1.36860E-02
-2.15390E+01	-6.14630E-04	-1.45070E-03	-9.71250E-03	-4.13040E-03	-1.30620E-02
-2.13890E+01	-4.43640E-04	-1.34420E-03	-9.57240E-03	-5.59840E-03	-1.19570E-02
-2.12390E+01	-1.50590E-04	-3.41740E-04	-9.58380E-03	-4.15520E-03	-1.28410E-02
-2.10890E+01	-9.95340E-05	-4.25890E-04	-8.90430E-03	-2.76090E-03	-1.25900E-02
-2.09390E+01	1.63300E-04	-5.74180E-05	-9.05040E-03	-2.63950E-03	-1.28970E-02
-2.07890E+01	3.30180E-04	2.75560E-04	-8.28500E-03	-2.78580E-03	-1.15850E-02
-2.06390E+01	1.49150E-05	6.81310E-04	-8.30840E-03	-1.37480E-03	-1.24690E-02
-2.04890E+01	4.72560E-04	4.41640E-04	-7.95600E-03	-2.14670E-03	-1.14410E-02
-2.03380E+01	3.06900E-04	4.21180E-04	-8.04760E-03	-1.96310E-03	-1.16980E-02
-2.01880E+01	2.79580E-04	1.26770E-04	-8.52230E-03	-2.98700E-03	-1.18430E-02
-2.00380E+01	-3.92660E-05	2.92460E-05	-8.27130E-03	-2.49950E-03	-1.17350E-02
-1.98880E+01	-2.23270E-04	-9.27750E-04	-9.14580E-03	-5.66790E-03	-1.12330E-02
-1.97380E+01	-1.27610E-04	-4.86130E-05	-8.55980E-03	-5.02160E-03	-1.06830E-02
