Re,nodes_per_diameter,delta_x_over_D,nx,ny,tau,Mach,blockage,observation_time_D_over_U,statistics_start_D_over_U,density_drift,Cd_mean,Cd_tail_half_change_percent,Cl_rms,St,St_valid,St_cycles,lift_relative_rms_change,Lr_over_D,elapsed_seconds,evidence_source,statistical_convergence_pass,reference_Cd_mean_pass,reference_St_pass,reference_Lr_over_D_pass
100,18,0.0555555555555555,360,144,0.527,0.0866025403784438,0.125,100,45,0.0005615949630737,1.5552409037934112,0.9851629891204816,0.2557509525484222,0.1818758633223889,True,10.000141218342687,0.1039131406812173,1.4177007871794818,710.2880171040015,byte-verified retained grid-study run,True,False,False,True
100,27,0.037037037037037,540,216,0.5405,0.0866025403784438,0.125,100,45,0.000451922416687,1.522622496061201,0.9005814322875099,0.2433355003611629,0.1828121982693925,True,10.051624034845435,0.0949318218735345,1.437260807574659,2523.612555918997,byte-verified retained grid-study run,True,False,False,True
100,40,0.025,800,320,0.56,0.08660254037844388,0.125,100,45,0.0005228125207650258,1.5306413091851108,0.91395212909576,0.2511758673249561,0.18287993536622896,True,10.056567645788933,0.09487162747498333,1.4223023443797402,15178.719386402983,fresh_D40_continuation,True,False,False,True
