train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,7,constant_test_0000,0.0025805316020193216,0.0032686976816522256,0.003449494633659371,1.3696057363365979e-16,0.3170890592815555,0.0
constant,constant,7,constant_test_0001,0.0007611371403760422,0.0010383136268766497,0.0012031620977067503,1.3790056443416507e-16,0.26156147393146556,0.0
constant,constant,7,constant_test_0002,0.0018161208457521606,0.0023079738581338397,0.0027879623067002296,1.426689400164344e-16,0.21861040866253173,0.0
constant,constant,7,constant_test_0003,0.0007033798335244673,0.001102192093365731,0.0013131219867389724,1.2255166232183375e-16,0.3062698081475756,0.0
constant,constant,7,constant_test_0004,0.0008667107161843371,0.0015841712882763727,0.0017953742851838515,1.416955489976955e-16,0.310614890799707,0.0
constant,constant,7,constant_test_0005,0.0013397749854074245,0.0014910496770238774,0.0016255821856244663,1.3702166742210388e-16,0.29027090429129304,0.0
constant,constant,17,constant_test_0000,0.001813342219857246,0.0021341735676095514,0.0022538085688602488,1.4281027683278445e-16,0.3172506891243178,0.0
constant,constant,17,constant_test_0001,0.0005049806437778404,0.0005005299102217937,0.0006459495982427825,1.4308902658076534e-16,0.26153211282613376,0.0
constant,constant,17,constant_test_0002,0.0013174110081054608,0.0014227277908468248,0.0017742050535201838,1.3294209546279246e-16,0.2187185829821984,0.0
constant,constant,17,constant_test_0003,0.003399883957264753,0.00356817824465465,0.004513617726200024,1.365768005428733e-16,0.30695988647633776,0.0
constant,constant,17,constant_test_0004,0.00218522441941899,0.002586226257822026,0.0033111499130024963,1.223148472941314e-16,0.31118103121003143,0.0
constant,constant,17,constant_test_0005,0.0024321910229872412,0.002362281658284478,0.002773621048987409,1.2989207246624097e-16,0.2905497729879378,0.0
constant,constant,27,constant_test_0000,0.002152226643279778,0.002559370927567603,0.0027184108470178557,1.327471348133014e-16,0.31713596432759245,0.0
constant,constant,27,constant_test_0001,0.0006401622351410929,0.0007940606946310095,0.0009111335249710205,1.5425187729892041e-16,0.26152473918531377,0.0
