protocol,case,geometry,Re,model,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_geometry_v1,g009_Re100_medium,g009,100,ordinary_DeepONet,29,380,47.13605880737305,91.01387023925781,0.4033006704486849,-3.063154831199069
diverse_geometry_v1,g009_Re25_medium,g009,25,ordinary_DeepONet,29,380,40.54327392578125,94.11449432373047,0.7815468113975577,-0.574796274738068
diverse_geometry_v1,g009_Re50_medium,g009,50,ordinary_DeepONet,29,380,43.0159797668457,84.54393005371094,0.5145374449339207,-3.0049476135040742
diverse_geometry_v1,g023_Re100_medium,g023,100,ordinary_DeepONet,29,380,35.62822341918945,249.66897583007812,0.33648095687755747,-14.114478114478112
diverse_geometry_v1,g023_Re25_medium,g023,25,ordinary_DeepONet,29,380,24.62786102294922,282.6961975097656,0.21067683508102955,-5.077441077441078
diverse_geometry_v1,g023_Re50_medium,g023,50,ordinary_DeepONet,29,380,30.224266052246094,271.9555358886719,0.28185328185328185,-8.713804713804713
diverse_geometry_v1,g036_Re100_medium,g036,100,ordinary_DeepONet,29,380,31.18330192565918,300.4451599121094,0.3644825018615041,-11.473861720067454
diverse_geometry_v1,g036_Re25_medium,g036,25,ordinary_DeepONet,29,380,18.468027114868164,346.1574401855469,0.25321100917431194,-2.2866779089376057
diverse_geometry_v1,g036_Re50_medium,g036,50,ordinary_DeepONet,29,380,24.609437942504883,357.7693176269531,0.32997676219984506,-5.834738617200675
diverse_geometry_v1,g048_Re100_medium,g048,100,ordinary_DeepONet,29,380,19.79764175415039,333.3530578613281,0.5779661016949152,-0.4145077720207252
diverse_geometry_v1,g048_Re25_medium,g048,25,ordinary_DeepONet,29,380,18.44429588317871,502.8240661621094,0.297029702970297,-0.9261658031088085
diverse_geometry_v1,g048_Re50_medium,g048,50,ordinary_DeepONet,29,380,15.585543632507324,676.467529296875,0.7369519832985386,-0.7124352331606219
