coordinate,E1_percent,E12_percent,E123_percent,N99,evidence_status
physical,78.9221122412,88.4667891195,93.7617868850,8,published source-repository reference output
shock_centered,97.9855129903,99.1821790006,99.8648283653,2,published source-repository reference output
