case_id,nominal_parameter,height_percent,point_count,combined_relative_l2_percent,u_relative_l2_percent,v_relative_l2_percent,vortex_relative_l2_percent,negative_u_iou_percent,dsmc_reattachment_length_over_L,independent_reattachment_length_over_L,abs_u_error_p99,abs_u_error_max,abs_v_error_p99,abs_v_error_max,L_over_H_from_grid,step_x_over_H_from_grid,step_y_over_H_from_grid
H44,h/H=0.44,44,21180,9.593848962034839,9.402558393327986,22.640783657053408,19.863441859124997,93.27217125382263,0.11988325169765199,0.11377133385603891,30.925334153402627,83.35388058702476,7.28059436292515,59.37652744348097,4.999896397319668,1.4749622589882012,0.40832954250021125
H67,h/H=0.67,67,19380,11.267435501920485,10.768201476816762,22.25209459758707,33.25675150183457,80.48780487804879,0.1042081853511247,0.11486195510243204,19.360464784036527,53.29335394344639,5.741074916053956,44.87680183742459,4.999896397319668,1.4749622589882012,0.6583380035210026
