case_id,study,nominal_parameter,article_figure,point_count,unique_point_count,max_coordinate_delta,combined_relative_l2_percent,u_relative_l2_percent,v_relative_l2_percent,vortex_relative_l2_percent,negative_u_iou_percent,dsmc_reattachment_length_over_L,stored_nn_reattachment_length_over_L,abs_u_error_p99,abs_u_error_max,abs_v_error_p99,abs_v_error_max,L_over_H_from_grid,step_x_over_H_from_grid,step_y_over_H_from_grid,reference_sha256,prediction_sha256,reference_path,prediction_path
Kn0p004,Knudsen-number,Kn=0.004,6,20580,20519,5.0000000843119176e-17,2.473846775917407,2.4363732235910747,4.816187294950543,7.210353055044745,96.29388816644993,0.2688844467151528,0.26492073852701065,14.098621409999991,49.24371705,2.6557845465,30.00111845,4.999896397319668,1.4749622589882012,0.491661782180245,0e0c1c7615dec22522c66bffe2746d85d4c53656b16a5eb8150a61db4a0e0c53,c602d644f3955299ca1cb65ce194555da72c0f5c2e88c757343b638caba8acf5,data/kn/smoothed/Kn=0-004_smoothed.dat,results/kn/best_run_seed_2035/tecplot_pred/pred_Kn=0-004.dat
Kn0p02,Knudsen-number,Kn=0.02,6,20580,20519,5.0000000843119176e-17,2.298613976222118,2.1393841878826776,7.222129645726698,18.50357599069912,94.03254972875226,0.08066504719522556,0.08065908550612781,4.395146474999994,30.129601299999997,1.8119178787999997,19.34497389,4.999896397319668,1.4749622589882012,0.491661782180245,49555b63aaaf809198c105a1cd892e99e57e75cbca7cfbe64d8af05720988f3b,d994572d60511ce241667b248f9ec21067c8e78ea0052edf0ee0aa85b59722b0,data/kn/smoothed/Kn=0-02_smoothed.dat,results/kn/best_run_seed_2035/tecplot_pred/pred_Kn=0-02.dat
H44,step-height,h/H=0.44,15,21180,21109,0.0,4.924930459384736,4.895220777920362,7.6171617298081955,15.01765277624327,92.83582089552239,0.11988325171024382,0.12010196409454099,13.141798516000003,78.07870000000001,2.7525921359999956,31.3171824,4.999896397319668,1.4749622589882012,0.40832954250021125,eeb1002e4697466609cac8485a041e8c591b4374ad895230cef560f85dadea74,b9ebdfdd30c9ba4273348f1ad0cec6a635c299faadf6b5617489e1f3526dbba5,data/height/smoothed/H44_smoothed.dat,results/height/full_data/tecplot_pred/pred_H44_smoothed.dat
H67,step-height,h/H=0.67,15,19380,19339,0.0,8.232316394082336,8.129273512277853,11.144482754014513,21.288895639048686,84.86055776892431,0.10420818530360182,0.10461071795691297,16.483590245,56.499735900000005,4.2003392459999995,35.202994000000004,4.999896397319668,1.4749622589882012,0.6583380035210026,79166f5a00982165f1c39daf174a94a9745a42cbced05b554d20d111e25a8b84,f8bb77ada4291c90fce394d4771af26902fa294fc4eb951e2ba2cf965e4a6dea,data/height/smoothed/H67_smoothed.dat,results/height/full_data/tecplot_pred/pred_H67_smoothed.dat
