seed,field,method,reference_nrmse,gradient_nrmse,edge_nrmse,observed_mean_change,max_absolute_error
26082107,qx,Raw(3),0.11882590606987518,0.4768550209489789,0.08689794685837365,0.0,0.07209861278533936
26082107,qy,Raw(3),0.17807119921704345,0.853997593420237,0.19136982784664755,0.0,0.04054228961467743
26082107,qx,Gaussian,0.08747579115054967,0.47370831881271885,0.09763491138722612,1.3877787807814457e-17,0.38638901814612403
26082107,qy,Gaussian,0.08299777710674783,0.45857125551688294,0.12808471628839582,0.0,0.11502920801388217
26082107,qx,Spectral,0.07157971426319228,0.3482092133317942,0.06154602843535766,1.3877787807814457e-17,0.20963389947466204
26082107,qy,Spectral,0.08096981174306501,0.41371608445476515,0.10170108554690487,-1.3877787807814457e-17,0.11919047466746541
26082107,qx,Training mean (prior only),0.05977159413009261,0.23948728967287597,0.044632003837116234,-0.00015796326380154713,0.032140105962753296
26082107,qy,Training mean (prior only),0.09053306840670863,0.4347162039958496,0.09811631882390286,0.0005116725759922031,0.022677243687212467
26082107,qx,Noise2Noise MLP,0.10399384481864525,0.4287956233515211,0.1095553272750975,0.0014623594091265346,0.4314495769291272
26082107,qy,Noise2Noise MLP,0.06297612943536306,0.3014156979834713,0.08894487338547277,-0.00017771923020847707,0.1170883543365824
26082107,qx,MLP + observed mean,0.1022771481316917,0.42879562335152094,0.10876073444314048,2.0816681711721685e-17,0.43291193633825376
26082107,qy,MLP + observed mean,0.06250136815951307,0.30141569798347123,0.08844122417772063,-1.1796119636642288e-16,0.11726607356679075
26082107,qx,"Raw(10), larger budget",0.06540794102224869,0.26295119825490526,0.04811200340173683,-0.00038701445159614045,0.03787468373775482
26082107,qy,"Raw(10), larger budget",0.098131347294771,0.4709977482833677,0.10691469613151233,0.00046392627347656423,0.02527860552072525
26082108,qx,Raw(3),0.11855185659361575,0.48366839190886024,0.08816976996664733,0.0,0.05355527997016907
26082108,qy,Raw(3),0.17399785603594314,0.8294466075964836,0.19005603765060003,0.0,0.04055197536945343
26082108,qx,Gaussian,0.08776676727451745,0.4809721761099013,0.09806378653457563,0.0,0.4092822533697502
26082108,qy,Gaussian,0.08098620060200774,0.4501547127087199,0.12446584826301109,-6.938893903907228e-18,0.12318859186883924
26082108,qx,Spectral,0.07189420694238598,0.3612938456292637,0.06369514306765466,1.3877787807814457e-17,0.2507600772589309
26082108,qy,Spectral,0.07855785141876304,0.40002738878118815,0.09853696320295516,-2.0816681711721685e-17,0.12118147442602545
26082108,qx,Training mean (prior only),0.05977159413009261,0.23948728967287597,0.044632003837116234,0.0002454562891134743,0.032140105962753296
26082108,qy,Training mean (prior only),0.09053306840670863,0.4347162039958496,0.09811631882390286,0.000223938293939685,0.022677243687212467
26082108,qx,Noise2Noise MLP,0.10349470317512038,0.41420673915670597,0.10989803940444152,0.0014212688166523116,0.43947371692376125
26082108,qy,Noise2Noise MLP,0.06318404134115016,0.2851161093259728,0.08777790106674634,-0.00019582573880317505,0.11425186728631964
26082108,qx,MLP + observed mean,0.10252509566330227,0.4142067391567059,0.1097700727488826,-1.3877787807814457e-17,0.44089498574041364
26082108,qy,MLP + observed mean,0.06291128542980617,0.2851161093259728,0.08741998083066319,1.734723475976807e-16,0.11444769302512298
26082108,qx,"Raw(10), larger budget",0.065695608418319,0.26535884163895274,0.04779822815550998,4.404135513277896e-05,0.03594571352005005
26082108,qy,"Raw(10), larger budget",0.09935330923189933,0.47505132472620293,0.1091830504786041,7.872509032822578e-05,0.04827234148979187
