model,u_relative_l2,u_rmse,v_relative_l2,v_rmse,p_relative_l2,p_rmse,combined_relative_l2,vorticity_relative_l2,vorticity_frame_median_relative_l2,vorticity_frame_max_relative_l2,divergence_rms_normalized,solid_speed_rms_normalized,mean_pressure_gauge_normalized
harmonic POD baseline,0.016619401395656756,0.01693332467185864,0.19404465280099378,0.03500749503243145,0.11142352271663779,0.014833450087227114,0.03989472351099131,0.20744653463210555,,,,,
neural POD,0.018502454291395392,0.01885194648612921,0.18805354295294366,0.03392664201629881,0.1637687000855722,0.021801992786992228,0.04267053098948117,0.1670338626686869,0.1139067620981417,0.8017881604047434,0.0026191862525371586,0.0,-0.08552232340963542
