protocol,case,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_family_v1,g012_Re25_medium,43,390,35.90962219238281,858.708740234375,0.28152866242038216,-1.9789089962244502
diverse_family_v1,g012_Re50_medium,43,390,42.81525802612305,607.995849609375,0.2531446540880503,-9.237078505402943
diverse_family_v1,g045_Re100_medium,43,390,23.366661071777344,544.614990234375,0.32012042147516306,-8.353884093711468
diverse_family_v1,g045_Re25_medium,43,390,25.977243423461914,995.0239868164062,0.511377245508982,1.6892725030826141
diverse_family_v1,g045_Re50_medium,43,390,21.246004104614258,907.5552978515625,0.44483985765124556,-2.885326757090013
diverse_family_v1,g046_Re100_medium,43,390,22.966936111450195,538.3575439453125,0.35822571588994945,-7.117061021170609
diverse_family_v1,g046_Re25_medium,43,390,26.11726951599121,910.485595703125,0.37300435413642963,2.11706102117061
diverse_family_v1,g046_Re50_medium,43,390,21.555370330810547,888.8639526367188,0.4742489270386266,-1.3574097135740968
diverse_family_v1,g047_Re100_medium,43,390,23.343421936035156,494.50531005859375,0.45712037765538943,-4.371029224904701
diverse_family_v1,g047_Re25_medium,43,390,24.079740524291992,756.2394409179688,0.4399092970521542,0.9593392630241421
diverse_family_v1,g047_Re50_medium,43,390,21.363990783691406,799.9368896484375,0.5768645357686454,0.3049555273189328
diverse_family_v1,g048_Re100_medium,43,390,23.386722564697266,472.0491027832031,0.3962655601659751,-3.756476683937824
diverse_family_v1,g048_Re25_medium,43,390,22.05657958984375,650.4100952148438,0.6914498141263941,-0.5246113989637307
diverse_family_v1,g048_Re50_medium,43,390,19.26865577697754,770.8153076171875,0.7428571428571429,-0.5699481865284974
diverse_family_v1,g049_Re100_medium,43,390,23.631725311279297,522.4014282226562,0.3174129353233831,-8.453481207640174
diverse_family_v1,g049_Re25_medium,43,390,25.818798065185547,988.864990234375,0.4700352526439483,1.312384473197782
diverse_family_v1,g049_Re50_medium,43,390,21.369930267333984,863.9331665039062,0.45518453427065025,-3.08071472581639
diverse_family_v1,g050_Re25_medium,43,390,26.014602661132812,937.5317993164062,0.2496493688639551,1.8210068365444376
diverse_family_v1,g051_Re25_medium,43,390,24.506553649902344,883.0801391601562,0.360381861575179,0.11399620012666235
