epoch,loss,val_loss,learning_rate
0,0.0568070113658905,0.044863224029541016,0.0005000000237487257
1,0.039395496249198914,0.038146939128637314,0.0005000000237487257
2,0.034960538148880005,0.03390860930085182,0.0005000000237487257
3,0.03217368945479393,0.033105526119470596,0.0005000000237487257
4,0.03204015642404556,0.034325022250413895,0.0005000000237487257
5,0.02965463697910309,0.028860336169600487,0.0005000000237487257
6,0.028659136965870857,0.028207525610923767,0.0005000000237487257
7,0.027543386444449425,0.029376307502388954,0.0005000000237487257
8,0.026900572702288628,0.026476042345166206,0.0005000000237487257
9,0.02626490592956543,0.026606692001223564,0.0005000000237487257
10,0.025810902938246727,0.02493871934711933,0.0005000000237487257
11,0.025557227432727814,0.02653622068464756,0.0005000000237487257
12,0.025194182991981506,0.02428298257291317,0.0005000000237487257
13,0.024672294035553932,0.02387058734893799,0.0005000000237487257
14,0.025251470506191254,0.022989286109805107,0.0005000000237487257
15,0.023404451087117195,0.025052085518836975,0.0005000000237487257
16,0.023683322593569756,0.02207977883517742,0.0005000000237487257
17,0.022302774712443352,0.020848078653216362,0.0005000000237487257
18,0.02186247892677784,0.023316016420722008,0.0005000000237487257
19,0.021956399083137512,0.020640404894948006,0.0005000000237487257
20,0.021961703896522522,0.0234678927809,0.0005000000237487257
21,0.02136719785630703,0.018724819645285606,0.0005000000237487257
22,0.02064855583012104,0.01819855533540249,0.0005000000237487257
23,0.01946493424475193,0.01751384325325489,0.0005000000237487257
24,0.01899806037545204,0.023460516706109047,0.0005000000237487257
25,0.01959322579205036,0.01855735294520855,0.0005000000237487257
26,0.017835816368460655,0.017662348225712776,0.0005000000237487257
27,0.01667136140167713,0.013796176761388779,0.0002500000118743628
28,0.014921952970325947,0.01395975798368454,0.0002500000118743628
29,0.01409368496388197,0.012793543748557568,0.0002500000118743628
30,0.013777583837509155,0.013280496932566166,0.0002500000118743628
31,0.013369961641728878,0.012243933044373989,0.0002500000118743628
