-2.22440E+01	-2.30080E-03	-1.86290E-03	-9.05610E-04	-9.05680E-04	-2.552000E+00
-2.20950E+01	-5.22970E-04	-3.29330E-06	5.15140E-04	5.15190E-04	-2.552000E+00
-2.19460E+01	4.75440E-04	4.65930E-04	1.59430E-03	1.59420E-03	-2.552000E+00
-2.17970E+01	1.38690E-03	1.54060E-03	2.00630E-03	2.00630E-03	-2.552000E+00
-2.16490E+01	4.45950E-04	9.48170E-04	1.24800E-03	1.24790E-03	-2.552000E+00
-2.15000E+01	-4.53150E-04	-1.08630E-03	6.82860E-04	6.82780E-04	-2.552000E+00
-2.13510E+01	-9.10190E-04	-1.32970E-03	1.74370E-04	1.74300E-04	-2.552000E+00
-2.12020E+01	-1.63170E-03	-2.71810E-03	2.48270E-04	2.48290E-04	-2.552000E+00
-2.10530E+01	-1.59860E-03	-2.32090E-03	-1.46940E-03	-1.46950E-03	-2.552000E+00
-2.09050E+01	-7.14750E-05	-5.44600E-04	4.59320E-04	4.59350E-04	-2.552000E+00
-2.07560E+01	6.54840E-04	-1.37620E-04	4.69150E-04	4.69020E-04	-2.552000E+00
-2.06070E+01	-1.21520E-03	-1.33380E-03	-1.70120E-04	-1.70070E-04	-2.552000E+00
-2.04580E+01	-1.61820E-04	4.25140E-05	7.51440E-04	7.51560E-04	-2.552000E+00
-2.03090E+01	3.28720E-04	5.41770E-04	6.41400E-04	6.41510E-04	-2.552000E+00
-2.01610E+01	-3.04770E-04	-8.50860E-04	2.67930E-04	2.68040E-04	-2.552000E+00
-2.00120E+01	-3.79790E-04	-1.15190E-03	-6.29970E-05	-6.30060E-05	-2.552000E+00
-1.98630E+01	-1.13560E-03	-1.34470E-03	-1.31230E-03	-1.31230E-03	-2.552000E+00
-1.97140E+01	-3.63630E-04	-1.39240E-03	1.94310E-04	1.94250E-04	-2.552000E+00
-1.95660E+01	-4.45360E-04	-7.70310E-04	-6.60800E-04	-6.60900E-04	-2.552000E+00
-1.94170E+01	7.26550E-05	-8.34050E-04	4.63300E-04	4.63240E-04	-2.552000E+00
-1.92680E+01	1.54160E-04	2.72480E-04	7.19010E-04	7.19110E-04	-2.552000E+00
-1.91190E+01	-5.76870E-04	-4.32030E-04	-5.07430E-04	-5.07330E-04	-2.552000E+00
-1.89700E+01	-3.62680E-04	-7.54640E-04	-2.15570E-03	-2.15580E-03	-2.552000E+00
-1.88220E+01	4.72140E-04	7.80660E-04	3.20560E-04	3.20540E-04	-2.552000E+00
-1.86730E+01	-7.59690E-04	-1.34880E-03	-1.71820E-03	-1.71820E-03	-2.552000E+00
-1.85240E+01	-7.78090E-04	-1.36060E-03	-6.49640E-04	-6.49710E-04	-2.552000E+00
-1.83750E+01	-1.25020E-05	-7.81420E-04	2.79100E-05	2.80300E-05	-2.552000E+00
-1.82260E+01	1.96260E-04	-1.66140E-04	4.33800E-04	4.33870E-04	-2.552000E+00
-1.80780E+01	6.03530E-04	1.12400E-03	1.16980E-03	1.16970E-03	-2.552000E+00
-1.79290E+01	-3.19040E-04	8.78200E-05	-2.20620E-04	-2.20560E-04	-2.552000E+00
